address,categories/0,categories/1,categoryName,city,countryCode,language,likesCount,location/lat,location/lng,name,neighborhood,originalLanguage,permanentlyClosed,placeId,postalCode,price,publishAt,publishedAtDate,rating,responseFromOwnerDate,responseFromOwnerText,reviewContext/Meal type,reviewContext/Noise level,reviewContext/Parking space,reviewContext/Price per person,reviewContext/Recommendation for vegetarians,reviewContext/Service,reviewContext/Wait time,reviewDetailedRating/Atmosphere,reviewDetailedRating/Food,reviewDetailedRating/Service,reviewOrigin,reviewsCount,scrapedAt,searchString,stars,state,street,temporarilyClosed,text,textTranslated,title,totalScore,translatedLanguage,visitedIn,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,reviewContext/Reservation,categories/9
"122 Streatham High Rd, London SW16 1BW, United Kingdom",Portuguese restaurant,Mediterranean restaurant,Portuguese restaurant,London,GB,en,0,51.434016,-0.1284869,Est Den,,en,FALSE,ChIJqeerLyYEdkgRZGroA68m73g,SW16 1BW,$$,an hour ago,2025-04-30T15:15:39.595Z,,,,,,,£60–70,,,,5,5,5,Google,936,2025-04-30T17:09:12.121Z,"Direct Detail URL: https://www.google.co.uk/maps/place/La+Casita/@51.4342378,-0.12904,211m/data=!3m1!1e3!4m8!3m7!1s0x487604262fabe7a9:0x78ef26af03e86a64!8m2!3d51.434016!4d-0.1284869!9m1!1b1!16s%2Fg%2F1td71gqv?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D",5,,122 Streatham High Rd,FALSE,"Wonderful beef from Portugal, the flavour was so natural and as it should be! Our waitress, Sandra was professional, efficient and welcoming. Great experience for us X",,La Casita,4.6,,,,,,,,,,,
"122 Streatham High Rd, London SW16 1BW, United Kingdom",Portuguese restaurant,Mediterranean restaurant,Portuguese restaurant,London,GB,en,0,51.434016,-0.1284869,Lorena Sanchez,,en,FALSE,ChIJqeerLyYEdkgRZGroA68m73g,SW16 1BW,$$,4 hours ago,2025-04-30T12:38:18.449Z,,,,,"Quiet, easy to talk",,,,,No wait,5,5,5,Google,936,2025-04-30T17:09:12.121Z,"Direct Detail URL: https://www.google.co.uk/maps/place/La+Casita/@51.4342378,-0.12904,211m/data=!3m1!1e3!4m8!3m7!1s0x487604262fabe7a9:0x78ef26af03e86a64!8m2!3d51.434016!4d-0.1284869!9m1!1b1!16s%2Fg%2F1td71gqv?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D",5,,122 Streatham High Rd,FALSE,Amazing!!! People and the best food in London,,La Casita,4.6,,,,,,,,,,,
"122 Streatham High Rd, London SW16 1BW, United Kingdom",Portuguese restaurant,Mediterranean restaurant,Portuguese restaurant,London,GB,en,0,51.434016,-0.1284869,christianne carregueira,,en,FALSE,ChIJqeerLyYEdkgRZGroA68m73g,SW16 1BW,$$,20 hours ago,2025-04-29T20:52:48.709Z,,2024-06-04T21:27:10.000Z,Thank you so much Christianne for your lovely review.,,,,£10–20,,,,5,5,5,Google,936,2025-04-30T17:09:12.121Z,"Direct Detail URL: https://www.google.co.uk/maps/place/La+Casita/@51.4342378,-0.12904,211m/data=!3m1!1e3!4m8!3m7!1s0x487604262fabe7a9:0x78ef26af03e86a64!8m2!3d51.434016!4d-0.1284869!9m1!1b1!16s%2Fg%2F1td71gqv?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D",5,,122 Streatham High Rd,FALSE,The best Portuguese restaurant in the area! Lovely service and delicious food! Always come here when I miss home,,La Casita,4.6,,,,,,,,,,,
"122 Streatham High Rd, London SW16 1BW, United Kingdom",Portuguese restaurant,Mediterranean restaurant,Portuguese restaurant,London,GB,en,0,51.434016,-0.1284869,Katielly Miranda,,en,FALSE,ChIJqeerLyYEdkgRZGroA68m73g,SW16 1BW,$$,20 hours ago,2025-04-29T20:52:47.807Z,,2024-06-04T21:24:24.000Z,Thank you so much Katielly fir you lovely review. We much appreciate it 🙏 ,Dinner,,,£50–60,,Dine in,,5,5,5,Google,936,2025-04-30T17:09:12.121Z,"Direct Detail URL: https://www.google.co.uk/maps/place/La+Casita/@51.4342378,-0.12904,211m/data=!3m1!1e3!4m8!3m7!1s0x487604262fabe7a9:0x78ef26af03e86a64!8m2!3d51.434016!4d-0.1284869!9m1!1b1!16s%2Fg%2F1td71gqv?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D",5,,122 Streatham High Rd,FALSE,"The food was very good, one of the best restaurants I've eaten at in London, and the woman who served us was super attentive and served us very well.",,La Casita,4.6,,,,,,,,,,,
"122 Streatham High Rd, London SW16 1BW, United Kingdom",Portuguese restaurant,Mediterranean restaurant,Portuguese restaurant,London,GB,en,0,51.434016,-0.1284869,Marcio Goncalves Barbosa,,,FALSE,ChIJqeerLyYEdkgRZGroA68m73g,SW16 1BW,$$,a week ago,2025-04-21T16:20:02.933Z,,,,,,,,,,,5,5,5,Google,936,2025-04-30T17:09:12.121Z,"Direct Detail URL: https://www.google.co.uk/maps/place/La+Casita/@51.4342378,-0.12904,211m/data=!3m1!1e3!4m8!3m7!1s0x487604262fabe7a9:0x78ef26af03e86a64!8m2!3d51.434016!4d-0.1284869!9m1!1b1!16s%2Fg%2F1td71gqv?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D",5,,122 Streatham High Rd,FALSE,,,La Casita,4.6,,,,,,,,,,,
"122 Streatham High Rd, London SW16 1BW, United Kingdom",Portuguese restaurant,Mediterranean restaurant,Portuguese restaurant,London,GB,en,0,51.434016,-0.1284869,sister lisa zhitong li,,en,FALSE,ChIJqeerLyYEdkgRZGroA68m73g,SW16 1BW,$$,a week ago,2025-04-16T17:16:49.871Z,,,,,,,,,,,5,5,5,Google,936,2025-04-30T17:09:12.121Z,"Direct Detail URL: https://www.google.co.uk/maps/place/La+Casita/@51.4342378,-0.12904,211m/data=!3m1!1e3!4m8!3m7!1s0x487604262fabe7a9:0x78ef26af03e86a64!8m2!3d51.434016!4d-0.1284869!9m1!1b1!16s%2Fg%2F1td71gqv?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D",5,,122 Streatham High Rd,FALSE,"Very nice, the service is very good too",,La Casita,4.6,,,,,,,,,,,
"122 Streatham High Rd, London SW16 1BW, United Kingdom",Portuguese restaurant,Mediterranean restaurant,Portuguese restaurant,London,GB,en,0,51.434016,-0.1284869,Ben,,,FALSE,ChIJqeerLyYEdkgRZGroA68m73g,SW16 1BW,$$,a week ago,2025-04-16T17:16:08.283Z,,,,,,,,,,,5,5,5,Google,936,2025-04-30T17:09:12.121Z,"Direct Detail URL: https://www.google.co.uk/maps/place/La+Casita/@51.4342378,-0.12904,211m/data=!3m1!1e3!4m8!3m7!1s0x487604262fabe7a9:0x78ef26af03e86a64!8m2!3d51.434016!4d-0.1284869!9m1!1b1!16s%2Fg%2F1td71gqv?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D",5,,122 Streatham High Rd,FALSE,,,La Casita,4.6,,,,,,,,,,,
"122 Streatham High Rd, London SW16 1BW, United Kingdom",Portuguese restaurant,Mediterranean restaurant,Portuguese restaurant,London,GB,en,0,51.434016,-0.1284869,Allison Brown,,en,FALSE,ChIJqeerLyYEdkgRZGroA68m73g,SW16 1BW,$$,2 weeks ago,2025-04-12T12:53:43.255Z,,2025-04-13T07:31:20.000Z,"Dear Allison,
We're deeply saddened to hear about your disappointment. We appreciate your feedback and are committed to making improvements. Your comments will be taken seriously as we strive to regain your trust and restore the quality you once loved.

We hope you'll give us another chance to provide you with the excellent service and quality food that we are known for.
Best Regards
La Casita
Sandra.
",Dinner,,,£30–40,,Dine in,,3,2,4,Google,936,2025-04-30T17:09:12.121Z,"Direct Detail URL: https://www.google.co.uk/maps/place/La+Casita/@51.4342378,-0.12904,211m/data=!3m1!1e3!4m8!3m7!1s0x487604262fabe7a9:0x78ef26af03e86a64!8m2!3d51.434016!4d-0.1284869!9m1!1b1!16s%2Fg%2F1td71gqv?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D",3,,122 Streatham High Rd,FALSE,"I have been visiting La Casita for a number of years & have never been disappointed ; tonight (11/04) was the exception. The starters of cheese fries & chilli jam, calamari & garlic prawns were a mixed level of tastiness - the best were the prawns (lots of garlic butter which was great), the worst were the calamari (these were inedible & returned). The waiter did apologise & removed this item from the bill. We did order some pão caseiro bread (traditional Portuguese bread) after the starters were served - this was definitely NOT pão caseiro - very disappointing. The mains consisted of mixed fish skewer (espetada), baked salted cod (bacalhau ) & sirloin steak - all 3 were below par. The steak was NOT sirloin, it was a largish flat piece of beef with a fair amount of “flobby” fat smothered with peppercorn sauce. Half of the steak was edible & the fries & side salad were good. The bacalhau was overcooked, way too firm not soft & silky & dry to taste ; the accompanying vegetables were good. The worse was the espetada ; the tuna was hard & grey in colour, the calamari was the same as the starter, difficult to cut & “rubbery”, the prawns were near on impossible to peel as they were stuck to the shell, the salmon was hard & dry. Along with the vegetables, the whole skewer was burnt / extremely charred. Around 75% of the food was left on our plates. The waiter did ask if everything was ok when clearing our table, we did respond giving an overall opinion that everything was overcooked. Not too much conversation between us, he acknowledged & left. The bill didn’t reflect any other discount apart from the calamari starter.
Maybe an “off” night for the Chef but @ our detriment & £££ ; not good. No one goes out to have a bad / unsatisfactory meal but this was probably one of the worst meals we’ve had in a long time. NB the photo’s can & are deceiving - the food looks good but tasted the complete opposite.",,La Casita,4.6,,,,,,,,,,,
"122 Streatham High Rd, London SW16 1BW, United Kingdom",Portuguese restaurant,Mediterranean restaurant,Portuguese restaurant,London,GB,en,0,51.434016,-0.1284869,Paul Casey,,en,FALSE,ChIJqeerLyYEdkgRZGroA68m73g,SW16 1BW,$$,2 weeks ago,2025-04-11T19:04:36.540Z,,,,Lunch,,,£10–20,,Dine in,,4,5,5,Google,936,2025-04-30T17:09:12.121Z,"Direct Detail URL: https://www.google.co.uk/maps/place/La+Casita/@51.4342378,-0.12904,211m/data=!3m1!1e3!4m8!3m7!1s0x487604262fabe7a9:0x78ef26af03e86a64!8m2!3d51.434016!4d-0.1284869!9m1!1b1!16s%2Fg%2F1td71gqv?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D",5,,122 Streatham High Rd,FALSE,"Visited for lunch with some friends on 11/4/25. Lunch offer is such a great deal and includes a drink of your choice including wine or beer. Service was warm, attentive and efficient. Our waiter was very charming. Dishes are simple and basic (in a good way) and of excellent quality and nicely prepared & served. Portion size is generous. The consensus was that everything ordered was absolutely delicious. Will definitely be back soon and delighted to recommend. Muito obrigado La Casita!",,La Casita,4.6,,,,,,,,,,,
"122 Streatham High Rd, London SW16 1BW, United Kingdom",Portuguese restaurant,Mediterranean restaurant,Portuguese restaurant,London,GB,en,0,51.434016,-0.1284869,Amy,,en,FALSE,ChIJqeerLyYEdkgRZGroA68m73g,SW16 1BW,$$,3 weeks ago,2025-04-06T15:16:27.513Z,,,,Dinner,,,£30–40,,Dine in,,5,5,5,Google,936,2025-04-30T17:09:12.121Z,"Direct Detail URL: https://www.google.co.uk/maps/place/La+Casita/@51.4342378,-0.12904,211m/data=!3m1!1e3!4m8!3m7!1s0x487604262fabe7a9:0x78ef26af03e86a64!8m2!3d51.434016!4d-0.1284869!9m1!1b1!16s%2Fg%2F1td71gqv?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D",5,,122 Streatham High Rd,FALSE,"We had the steak skewer and the monkfish and prawn stew. Both were incredible, couldn’t fault it. The service is great too. A lovely local restaurant we will continue going back to.",,La Casita,4.6,,,,,,,,,,,
