"address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categoryName","cid","city","countryCode","fid","imageUrl","isAdvertisement","isLocalGuide","language","likesCount","location/lat","location/lng","name","neighborhood","originalLanguage","permanentlyClosed","placeId","postalCode","price","publishAt","publishedAtDate","rating","responseFromOwnerDate","responseFromOwnerText","reviewContext/Meal type","reviewContext/Noise level","reviewContext/Parking space","reviewContext/Price per person","reviewContext/Recommendation for vegetarians","reviewContext/Service","reviewContext/Wait time","reviewDetailedRating/Atmosphere","reviewDetailedRating/Food","reviewDetailedRating/Service","reviewId","reviewImageUrls/0","reviewImageUrls/1","reviewImageUrls/2","reviewImageUrls/3","reviewImageUrls/4","reviewOrigin","reviewUrl","reviewerId","reviewerNumberOfReviews","reviewerPhotoUrl","reviewerUrl","reviewsCount","scrapedAt","searchString","stars","state","street","temporarilyClosed","text","textTranslated","title","totalScore","translatedLanguage","url","visitedIn"
"32 Streatham High Rd, London SW16 1DB, United Kingdom","Italian restaurant","Diner","Italian grocery store","Takeout Restaurant","Pasta shop","Pizza delivery","Pizza restaurant","Restaurant","Italian restaurant","5951955035563809588","London","GB","0x48760425eb9c679b:0x52999791ede0db34","https://lh3.googleusercontent.com/gps-cs-s/AC9h4noEdbI_JwIWXXfziuaIpertXDkTMSdGwxnmjoQgzGAxV-DvavLsrziFRSdQv1gPOcxuClUndDzArHEy47ln_zAQ2FGQydLZfoGfcoaVzjzO_F8GgebYcNms_hWfYhjd-Pt648Gj=w533-h240-k-no","false","false","en","0","51.4372786","-0.1276623","Melanie Loola l",,"en","false","ChIJm2ec6yUEdkgRNNvg7ZGXmVI","SW16 1DB","£10–20","20 hours ago","2025-04-29T20:00:56.535Z",,,,,,,,,,,"5","5","5","ChZDSUhNMG9nS0VJQ0FnTURvbC1tSkdREAE",,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTURvbC1tSkdREAE!2m1!1s0x0:0x52999791ede0db34!3m1!1s2@1:CIHM0ogKEICAgMDol-mJGQ%7CCgwI-N_EwAYQuMi0_wE%7C?hl=en","100914655580395498615","1","https://lh3.googleusercontent.com/a/ACg8ocJoPBfhrZM0ojg_31iB8mfQpAAHwPYF4sRMcyQYBCrBuGyHFiw=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/100914655580395498615?hl=en","845","2025-04-30T16:36:25.419Z","Direct Detail URL: https://www.google.co.uk/maps/place/Italian+Bistro+(Italian+Restaurant)/@51.4374381,-0.1286088,478m/data=!3m1!1e3!4m8!3m7!1s0x48760425eb9c679b:0x52999791ede0db34!8m2!3d51.4372786!4d-0.1276623!9m1!1b1!16s%2Fg%2F11bzxb8xjt?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","5",,"32 Streatham High Rd","false","The food is amazing and the waiter Vincenzo service was impeccable",,"Italian Bistro (Italian Restaurant)","4.7",,"https://www.google.com/maps/search/?api=1&query=Italian%20Bistro%20(Italian%20Restaurant)&query_place_id=ChIJm2ec6yUEdkgRNNvg7ZGXmVI",
"32 Streatham High Rd, London SW16 1DB, United Kingdom","Italian restaurant","Diner","Italian grocery store","Takeout Restaurant","Pasta shop","Pizza delivery","Pizza restaurant","Restaurant","Italian restaurant","5951955035563809588","London","GB","0x48760425eb9c679b:0x52999791ede0db34","https://lh3.googleusercontent.com/gps-cs-s/AC9h4noEdbI_JwIWXXfziuaIpertXDkTMSdGwxnmjoQgzGAxV-DvavLsrziFRSdQv1gPOcxuClUndDzArHEy47ln_zAQ2FGQydLZfoGfcoaVzjzO_F8GgebYcNms_hWfYhjd-Pt648Gj=w533-h240-k-no","false","false","en","0","51.4372786","-0.1276623","Eloise",,"en","false","ChIJm2ec6yUEdkgRNNvg7ZGXmVI","SW16 1DB","£10–20","a day ago","2025-04-28T23:45:34.385Z",,,,"Other",,,,,"Dine in",,,,,"ChZDSUhNMG9nS0VJQ0FnTURveV9feEh3EAE",,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTURveV9feEh3EAE!2m1!1s0x0:0x52999791ede0db34!3m1!1s2@1:CIHM0ogKEICAgMDoy__xHw%7CCgwInqbAwAYQoPGEuAE%7C?hl=en","112232014406618980081","7","https://lh3.googleusercontent.com/a-/ALV-UjViUCMQgHsFAt6kD6mMeU-DJt6hSbn_-2DVqNrUAxorb0gXxiWh=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/112232014406618980081?hl=en","845","2025-04-30T16:36:25.419Z","Direct Detail URL: https://www.google.co.uk/maps/place/Italian+Bistro+(Italian+Restaurant)/@51.4374381,-0.1286088,478m/data=!3m1!1e3!4m8!3m7!1s0x48760425eb9c679b:0x52999791ede0db34!8m2!3d51.4372786!4d-0.1276623!9m1!1b1!16s%2Fg%2F11bzxb8xjt?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","1",,"32 Streatham High Rd","false","Went on a sunny Sunday afternoon for a coffee and dessert on the outside tables, inside was empty except for 1 family. Was met with a waitress who when asked if we could sit outside and get some coffee/dessert we were given a weird look and ‘I guess we could do that I suppose’. We sat outside for 15/20 minutes and no one came so we left and went elsewhere. Terrible service, especially as it was nearly empty.",,"Italian Bistro (Italian Restaurant)","4.7",,"https://www.google.com/maps/search/?api=1&query=Italian%20Bistro%20(Italian%20Restaurant)&query_place_id=ChIJm2ec6yUEdkgRNNvg7ZGXmVI",
"32 Streatham High Rd, London SW16 1DB, United Kingdom","Italian restaurant","Diner","Italian grocery store","Takeout Restaurant","Pasta shop","Pizza delivery","Pizza restaurant","Restaurant","Italian restaurant","5951955035563809588","London","GB","0x48760425eb9c679b:0x52999791ede0db34","https://lh3.googleusercontent.com/gps-cs-s/AC9h4noEdbI_JwIWXXfziuaIpertXDkTMSdGwxnmjoQgzGAxV-DvavLsrziFRSdQv1gPOcxuClUndDzArHEy47ln_zAQ2FGQydLZfoGfcoaVzjzO_F8GgebYcNms_hWfYhjd-Pt648Gj=w533-h240-k-no","false","false","en","0","51.4372786","-0.1276623","Ellenor Search",,"en","false","ChIJm2ec6yUEdkgRNNvg7ZGXmVI","SW16 1DB","£10–20","a day ago","2025-04-28T19:24:50.806Z",,"2025-03-15T11:44:37.000Z","Thank you so much for the awesome 5-star review! We’re so happy to hear you enjoyed your experience with us.","Dinner",,,"£10–20",,,,"5","5","5","ChdDSUhNMG9nS0VJQ0FnTURnM2JuNXZRRRAB","https://lh3.googleusercontent.com/geougc-cs/AIHozJJPEIztP18f62rl_S3Arumf_Tt44tu4DUdByaWstPYwqLPX3_KlOQ4ygJzWhT0lL9fab1v4bxtxh9xgWEVsuR5vwwb8JO0pH7fTxmzEDFJUrNpN_yjFITl9Dh6652PP-OzSMPVt",,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURnM2JuNXZRRRAB!2m1!1s0x0:0x52999791ede0db34!3m1!1s2@1:CIHM0ogKEICAgMDg3bn5vQE%7CCgwIgqy_wAYQsKbQgAM%7C?hl=en","105035030124769774502","4","https://lh3.googleusercontent.com/a/ACg8ocLvqbDM-Es2BCwlddz95cFowUb-Xdvr7P2hXF4imDR23JArig=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/105035030124769774502?hl=en","845","2025-04-30T16:36:25.419Z","Direct Detail URL: https://www.google.co.uk/maps/place/Italian+Bistro+(Italian+Restaurant)/@51.4374381,-0.1286088,478m/data=!3m1!1e3!4m8!3m7!1s0x48760425eb9c679b:0x52999791ede0db34!8m2!3d51.4372786!4d-0.1276623!9m1!1b1!16s%2Fg%2F11bzxb8xjt?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","5",,"32 Streatham High Rd","false","Absolutely obsessed with the chicken salad! Will be back asap",,"Italian Bistro (Italian Restaurant)","4.7",,"https://www.google.com/maps/search/?api=1&query=Italian%20Bistro%20(Italian%20Restaurant)&query_place_id=ChIJm2ec6yUEdkgRNNvg7ZGXmVI",
"32 Streatham High Rd, London SW16 1DB, United Kingdom","Italian restaurant","Diner","Italian grocery store","Takeout Restaurant","Pasta shop","Pizza delivery","Pizza restaurant","Restaurant","Italian restaurant","5951955035563809588","London","GB","0x48760425eb9c679b:0x52999791ede0db34","https://lh3.googleusercontent.com/gps-cs-s/AC9h4noEdbI_JwIWXXfziuaIpertXDkTMSdGwxnmjoQgzGAxV-DvavLsrziFRSdQv1gPOcxuClUndDzArHEy47ln_zAQ2FGQydLZfoGfcoaVzjzO_F8GgebYcNms_hWfYhjd-Pt648Gj=w533-h240-k-no","false","false","en","0","51.4372786","-0.1276623","Marilyn Romero",,"en","false","ChIJm2ec6yUEdkgRNNvg7ZGXmVI","SW16 1DB","£10–20","6 days ago","2025-04-24T15:39:13.585Z",,,,"Dinner",,,"£30–40",,"Dine in",,"5","5","4","ChdDSUhNMG9nS0VJQ0FnTURvMXJldG1nRRAB",,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURvMXJldG1nRRAB!2m1!1s0x0:0x52999791ede0db34!3m1!1s2@1:CIHM0ogKEICAgMDo1retmgE%7CCgwIobapwAYQoIiElwI%7C?hl=en","113175441177691349509","3","https://lh3.googleusercontent.com/a/ACg8ocKjsIT9cN43hA4KbV089rkd5RDl0NahpMVEbuIziOm4GHhNYQ=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/113175441177691349509?hl=en","845","2025-04-30T16:36:25.419Z","Direct Detail URL: https://www.google.co.uk/maps/place/Italian+Bistro+(Italian+Restaurant)/@51.4374381,-0.1286088,478m/data=!3m1!1e3!4m8!3m7!1s0x48760425eb9c679b:0x52999791ede0db34!8m2!3d51.4372786!4d-0.1276623!9m1!1b1!16s%2Fg%2F11bzxb8xjt?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","5",,"32 Streatham High Rd","false","Really nice food and service. All the time we went there we've been service from an italian guy which is always very nice, close and friendly. We've tried different dishes and all of them are very tasty 😋.  It's our place when we want italian food.",,"Italian Bistro (Italian Restaurant)","4.7",,"https://www.google.com/maps/search/?api=1&query=Italian%20Bistro%20(Italian%20Restaurant)&query_place_id=ChIJm2ec6yUEdkgRNNvg7ZGXmVI",
"32 Streatham High Rd, London SW16 1DB, United Kingdom","Italian restaurant","Diner","Italian grocery store","Takeout Restaurant","Pasta shop","Pizza delivery","Pizza restaurant","Restaurant","Italian restaurant","5951955035563809588","London","GB","0x48760425eb9c679b:0x52999791ede0db34","https://lh3.googleusercontent.com/gps-cs-s/AC9h4noEdbI_JwIWXXfziuaIpertXDkTMSdGwxnmjoQgzGAxV-DvavLsrziFRSdQv1gPOcxuClUndDzArHEy47ln_zAQ2FGQydLZfoGfcoaVzjzO_F8GgebYcNms_hWfYhjd-Pt648Gj=w533-h240-k-no","false","false","en","0","51.4372786","-0.1276623","Kari C.",,"en","false","ChIJm2ec6yUEdkgRNNvg7ZGXmVI","SW16 1DB","£10–20","a week ago","2025-04-22T21:53:49.261Z",,,,"Lunch",,,"£10–20",,"Dine in",,"4","5","4","ChdDSUhNMG9nS0VJQ0FnTURvdlB5RnB3RRAB",,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURvdlB5RnB3RRAB!2m1!1s0x0:0x52999791ede0db34!3m1!1s2@1:CIHM0ogKEICAgMDovPyFpwE%7CCgsI7Z-gwAYQ6Na8fA%7C?hl=en","118261226439052251914","10","https://lh3.googleusercontent.com/a/ACg8ocLgwFZs-uxnPnpTPLRRLn2E3rvymO1iJcrauCL-yGPLx6I7yS0=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/118261226439052251914?hl=en","845","2025-04-30T16:36:25.419Z","Direct Detail URL: https://www.google.co.uk/maps/place/Italian+Bistro+(Italian+Restaurant)/@51.4374381,-0.1286088,478m/data=!3m1!1e3!4m8!3m7!1s0x48760425eb9c679b:0x52999791ede0db34!8m2!3d51.4372786!4d-0.1276623!9m1!1b1!16s%2Fg%2F11bzxb8xjt?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","5",,"32 Streatham High Rd","false","Food is always good.
Service could be friendlier.
Good food for money.",,"Italian Bistro (Italian Restaurant)","4.7",,"https://www.google.com/maps/search/?api=1&query=Italian%20Bistro%20(Italian%20Restaurant)&query_place_id=ChIJm2ec6yUEdkgRNNvg7ZGXmVI",
"32 Streatham High Rd, London SW16 1DB, United Kingdom","Italian restaurant","Diner","Italian grocery store","Takeout Restaurant","Pasta shop","Pizza delivery","Pizza restaurant","Restaurant","Italian restaurant","5951955035563809588","London","GB","0x48760425eb9c679b:0x52999791ede0db34","https://lh3.googleusercontent.com/gps-cs-s/AC9h4noEdbI_JwIWXXfziuaIpertXDkTMSdGwxnmjoQgzGAxV-DvavLsrziFRSdQv1gPOcxuClUndDzArHEy47ln_zAQ2FGQydLZfoGfcoaVzjzO_F8GgebYcNms_hWfYhjd-Pt648Gj=w533-h240-k-no","false","true","en","0","51.4372786","-0.1276623","Finnian Spencer",,"en","false","ChIJm2ec6yUEdkgRNNvg7ZGXmVI","SW16 1DB","£10–20","a week ago","2025-04-22T09:54:34.430Z",,,,,,,,,,,"4","5","2","ChdDSUhNMG9nS0VJQ0FnTUNvM3VyRzFRRRAB",,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNvM3VyRzFRRRAB!2m1!1s0x0:0x52999791ede0db34!3m1!1s2@1:CIHM0ogKEICAgMCo3urG1QE%7CCgwI2s6dwAYQkL65zQE%7C?hl=en","109681144274270001699","204","https://lh3.googleusercontent.com/a-/ALV-UjU5eyxrbfseWn_LC2XUNIRonucxGHcAY-K6dWJxpNIhetE_VleT=s1920-c-rp-mo-ba4-br100","https://www.google.com/maps/contrib/109681144274270001699?hl=en","845","2025-04-30T16:36:25.419Z","Direct Detail URL: https://www.google.co.uk/maps/place/Italian+Bistro+(Italian+Restaurant)/@51.4374381,-0.1286088,478m/data=!3m1!1e3!4m8!3m7!1s0x48760425eb9c679b:0x52999791ede0db34!8m2!3d51.4372786!4d-0.1276623!9m1!1b1!16s%2Fg%2F11bzxb8xjt?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","4",,"32 Streatham High Rd","false","Nice lunch deal, service was a bit lacking and uncaring",,"Italian Bistro (Italian Restaurant)","4.7",,"https://www.google.com/maps/search/?api=1&query=Italian%20Bistro%20(Italian%20Restaurant)&query_place_id=ChIJm2ec6yUEdkgRNNvg7ZGXmVI",
"32 Streatham High Rd, London SW16 1DB, United Kingdom","Italian restaurant","Diner","Italian grocery store","Takeout Restaurant","Pasta shop","Pizza delivery","Pizza restaurant","Restaurant","Italian restaurant","5951955035563809588","London","GB","0x48760425eb9c679b:0x52999791ede0db34","https://lh3.googleusercontent.com/gps-cs-s/AC9h4noEdbI_JwIWXXfziuaIpertXDkTMSdGwxnmjoQgzGAxV-DvavLsrziFRSdQv1gPOcxuClUndDzArHEy47ln_zAQ2FGQydLZfoGfcoaVzjzO_F8GgebYcNms_hWfYhjd-Pt648Gj=w533-h240-k-no","false","false","en","0","51.4372786","-0.1276623","Michelle Ghisletta",,"en","false","ChIJm2ec6yUEdkgRNNvg7ZGXmVI","SW16 1DB","£10–20","a week ago","2025-04-21T12:14:39.390Z",,,,"Lunch",,,"£1–10",,,,"5","5","5","ChdDSUhNMG9nS0VJQ0FnTURvc0xMcTBBRRAB",,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURvc0xMcTBBRRAB!2m1!1s0x0:0x52999791ede0db34!3m1!1s2@1:CIHM0ogKEICAgMDosLLq0AE%7CCgwIr-2YwAYQgN2kugE%7C?hl=en","116018035691079187303","5","https://lh3.googleusercontent.com/a-/ALV-UjWBeXwpW15_ocnN5t7kWXjbYzeQrm7ttF_F4QLUVXtVytJpdEI=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/116018035691079187303?hl=en","845","2025-04-30T16:36:25.419Z","Direct Detail URL: https://www.google.co.uk/maps/place/Italian+Bistro+(Italian+Restaurant)/@51.4374381,-0.1286088,478m/data=!3m1!1e3!4m8!3m7!1s0x48760425eb9c679b:0x52999791ede0db34!8m2!3d51.4372786!4d-0.1276623!9m1!1b1!16s%2Fg%2F11bzxb8xjt?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","5",,"32 Streatham High Rd","false","Amazing place, such a lovely vibe and atmosphere. Catered for my little daughter so well, staff are amazing and friendly. The prices are unreal for the portions you get as well, shame I don’t live close by otherwise would be there all the time. The pistachio cheesecake was out of this world. Definitely would go again when in the area.",,"Italian Bistro (Italian Restaurant)","4.7",,"https://www.google.com/maps/search/?api=1&query=Italian%20Bistro%20(Italian%20Restaurant)&query_place_id=ChIJm2ec6yUEdkgRNNvg7ZGXmVI",
"32 Streatham High Rd, London SW16 1DB, United Kingdom","Italian restaurant","Diner","Italian grocery store","Takeout Restaurant","Pasta shop","Pizza delivery","Pizza restaurant","Restaurant","Italian restaurant","5951955035563809588","London","GB","0x48760425eb9c679b:0x52999791ede0db34","https://lh3.googleusercontent.com/gps-cs-s/AC9h4noEdbI_JwIWXXfziuaIpertXDkTMSdGwxnmjoQgzGAxV-DvavLsrziFRSdQv1gPOcxuClUndDzArHEy47ln_zAQ2FGQydLZfoGfcoaVzjzO_F8GgebYcNms_hWfYhjd-Pt648Gj=w533-h240-k-no","false","false","en","0","51.4372786","-0.1276623","Orianne Douis",,"fr","false","ChIJm2ec6yUEdkgRNNvg7ZGXmVI","SW16 1DB","£10–20","a week ago","2025-04-18T20:04:28.622Z",,,,,,,,,,,"5","5","5","ChdDSUhNMG9nS0VJQ0FnTUNvbGZ2eDJnRRAB","https://lh3.googleusercontent.com/geougc-cs/AIHozJLNcYiamxctTri9SmCInXt8JLZqxKUfZhMQqyJ5dqtlxX-JqIi7AnUdbYZgP3V3Jr7TY1M0Wsp-LxrYmWvwTB9vxQuN-VIDa-kd8PMDHgMlXj0xRmmKWSmq0YYXbp4ZHaCzv_El",,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNvbGZ2eDJnRRAB!2m1!1s0x0:0x52999791ede0db34!3m1!1s2@1:CIHM0ogKEICAgMColfvx2gE%7CCgwIzOCKwAYQ0JXuqAI%7C?hl=en","101381766188163546825","6","https://lh3.googleusercontent.com/a/ACg8ocLLl-FsP6xOZNMZYswN1V5VLbMPEJm5atMY60dNi1bz8uhQJg=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/101381766188163546825?hl=en","845","2025-04-30T16:36:25.419Z","Direct Detail URL: https://www.google.co.uk/maps/place/Italian+Bistro+(Italian+Restaurant)/@51.4374381,-0.1286088,478m/data=!3m1!1e3!4m8!3m7!1s0x48760425eb9c679b:0x52999791ede0db34!8m2!3d51.4372786!4d-0.1276623!9m1!1b1!16s%2Fg%2F11bzxb8xjt?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","5",,"32 Streatham High Rd","false","Super bon moment de très bonnes pizzas. Les serveurs sont super sympa, aimable et bienveillant
Je recommande !","Great time, very good pizzas. The servers are super nice, friendly and caring
I recommend!","Italian Bistro (Italian Restaurant)","4.7","en","https://www.google.com/maps/search/?api=1&query=Italian%20Bistro%20(Italian%20Restaurant)&query_place_id=ChIJm2ec6yUEdkgRNNvg7ZGXmVI",
"32 Streatham High Rd, London SW16 1DB, United Kingdom","Italian restaurant","Diner","Italian grocery store","Takeout Restaurant","Pasta shop","Pizza delivery","Pizza restaurant","Restaurant","Italian restaurant","5951955035563809588","London","GB","0x48760425eb9c679b:0x52999791ede0db34","https://lh3.googleusercontent.com/gps-cs-s/AC9h4noEdbI_JwIWXXfziuaIpertXDkTMSdGwxnmjoQgzGAxV-DvavLsrziFRSdQv1gPOcxuClUndDzArHEy47ln_zAQ2FGQydLZfoGfcoaVzjzO_F8GgebYcNms_hWfYhjd-Pt648Gj=w533-h240-k-no","false","false","en","0","51.4372786","-0.1276623","Jenny Mills",,"en","false","ChIJm2ec6yUEdkgRNNvg7ZGXmVI","SW16 1DB","£10–20","a week ago","2025-04-16T21:04:18.019Z",,,,"Lunch",,,"£1–10",,"Dine in",,"5","5","5","ChZDSUhNMG9nS0VJQ0FnTUNvbHU3UGNREAE",,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNvbHU3UGNREAE!2m1!1s0x0:0x52999791ede0db34!3m1!1s2@1:CIHM0ogKEICAgMColu7PcQ%7CCgsI0raAwAYQyM-WCQ%7C?hl=en","104544898200371188219","10","https://lh3.googleusercontent.com/a-/ALV-UjVHNJ3ENfT8lLG94ofmFzirYkQpzCWBVUQtB1YcxyjKmird3E9i=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/104544898200371188219?hl=en","845","2025-04-30T16:36:25.419Z","Direct Detail URL: https://www.google.co.uk/maps/place/Italian+Bistro+(Italian+Restaurant)/@51.4374381,-0.1286088,478m/data=!3m1!1e3!4m8!3m7!1s0x48760425eb9c679b:0x52999791ede0db34!8m2!3d51.4372786!4d-0.1276623!9m1!1b1!16s%2Fg%2F11bzxb8xjt?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","5",,"32 Streatham High Rd","false","Great value lunch menu. Pizza is delicious!",,"Italian Bistro (Italian Restaurant)","4.7",,"https://www.google.com/maps/search/?api=1&query=Italian%20Bistro%20(Italian%20Restaurant)&query_place_id=ChIJm2ec6yUEdkgRNNvg7ZGXmVI",
"32 Streatham High Rd, London SW16 1DB, United Kingdom","Italian restaurant","Diner","Italian grocery store","Takeout Restaurant","Pasta shop","Pizza delivery","Pizza restaurant","Restaurant","Italian restaurant","5951955035563809588","London","GB","0x48760425eb9c679b:0x52999791ede0db34","https://lh3.googleusercontent.com/gps-cs-s/AC9h4noEdbI_JwIWXXfziuaIpertXDkTMSdGwxnmjoQgzGAxV-DvavLsrziFRSdQv1gPOcxuClUndDzArHEy47ln_zAQ2FGQydLZfoGfcoaVzjzO_F8GgebYcNms_hWfYhjd-Pt648Gj=w533-h240-k-no","false","false","en","0","51.4372786","-0.1276623","Phoebe Whittaker",,"en","false","ChIJm2ec6yUEdkgRNNvg7ZGXmVI","SW16 1DB","£10–20","2 weeks ago","2025-04-15T14:38:11.452Z",,,,,,,,,,,"5","5","5","ChdDSUhNMG9nS0VJQ0FnTUNvX0t2dDVRRRAB",,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNvX0t2dDVRRRAB!2m1!1s0x0:0x52999791ede0db34!3m1!1s2@1:CIHM0ogKEICAgMCo_Kvt5QE%7CCgwI0975vwYQ0NHT1wE%7C?hl=en","115444418153369890481","9","https://lh3.googleusercontent.com/a/ACg8ocJxCmNXCpZUaI9E6GC9aEmTDqn6T86Zd8wzOHRMcUjTuBpVmA=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/115444418153369890481?hl=en","845","2025-04-30T16:36:25.419Z","Direct Detail URL: https://www.google.co.uk/maps/place/Italian+Bistro+(Italian+Restaurant)/@51.4374381,-0.1286088,478m/data=!3m1!1e3!4m8!3m7!1s0x48760425eb9c679b:0x52999791ede0db34!8m2!3d51.4372786!4d-0.1276623!9m1!1b1!16s%2Fg%2F11bzxb8xjt?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","5",,"32 Streatham High Rd","false","We come to this restaurant for lunch very often and the incredible food and lovely and accommodating staff keep us coming back , great spot if you’re looking for some authentic italian food at a very reasonable price",,"Italian Bistro (Italian Restaurant)","4.7",,"https://www.google.com/maps/search/?api=1&query=Italian%20Bistro%20(Italian%20Restaurant)&query_place_id=ChIJm2ec6yUEdkgRNNvg7ZGXmVI",
