"address","categories/0","categories/1","categories/2","categoryName","cid","city","countryCode","fid","imageUrl","isAdvertisement","isLocalGuide","language","likesCount","location/lat","location/lng","name","neighborhood","originalLanguage","permanentlyClosed","placeId","postalCode","price","publishAt","publishedAtDate","rating","responseFromOwnerDate","responseFromOwnerText","reviewContext/Meal type","reviewContext/Noise level","reviewContext/Parking space","reviewContext/Price per person","reviewContext/Recommendation for vegetarians","reviewContext/Reservation","reviewContext/Service","reviewContext/Wait time","reviewDetailedRating/Atmosphere","reviewDetailedRating/Food","reviewDetailedRating/Service","reviewId","reviewImageUrls/0","reviewImageUrls/1","reviewImageUrls/2","reviewImageUrls/3","reviewImageUrls/4","reviewImageUrls/5","reviewImageUrls/6","reviewOrigin","reviewUrl","reviewerId","reviewerNumberOfReviews","reviewerPhotoUrl","reviewerUrl","reviewsCount","scrapedAt","searchString","stars","state","street","temporarilyClosed","text","textTranslated","title","totalScore","translatedLanguage","url","visitedIn"
"Ground Floor, 27 Streatham High Rd, London SW16 1DT, United Kingdom","Restaurant","Espresso bar","Pizza restaurant","Restaurant","4260259008385768583","London","GB","0x48760425e32a5555:0x3b1f7aff0dfddc87","https://lh3.googleusercontent.com/p/AF1QipM-7Cyajw5hAFn7xSet88mn1LHlBIDGb6JW4Oli=w408-h408-k-no","false","false","en","0","51.436157","-0.127615","elizabeth lewis",,"en","false","ChIJVVUq4yUEdkgRh9z9Df96Hzs","SW16 1DT","£20–30","2 hours ago","2025-04-30T14:31:07.847Z",,,,,,,,,,,,"5","3","5","ChdDSUhNMG9nS0VJQ0FnTUNZOExuYzlBRRAB",,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNZOExuYzlBRRAB!2m1!1s0x0:0x3b1f7aff0dfddc87!3m1!1s2@1:CIHM0ogKEICAgMCY8Lnc9AE%7CCgwIq-jIwAYQwLKqlAM%7C?hl=en","114057879433154113551","7","https://lh3.googleusercontent.com/a-/ALV-UjX_4aQdP9EtD76F3_KWPU5hxnXvYOsG2eFpUFo0XU1VacyJ6YrV=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/114057879433154113551?hl=en","434","2025-04-30T16:45:17.495Z","Direct Detail URL: https://www.google.co.uk/maps/place/Marinatto/@51.436079,-0.129857,354m/data=!3m1!1e3!4m8!3m7!1s0x48760425e32a5555:0x3b1f7aff0dfddc87!8m2!3d51.436157!4d-0.127615!9m1!1b1!16s%2Fg%2F11j1hz45q5?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","5",,"Ground Floor, 27 Streatham High Rd","false","Ingrige wonderful waitress !!",,"Marinatto","4.6",,"https://www.google.com/maps/search/?api=1&query=Marinatto&query_place_id=ChIJVVUq4yUEdkgRh9z9Df96Hzs",
"Ground Floor, 27 Streatham High Rd, London SW16 1DT, United Kingdom","Restaurant","Espresso bar","Pizza restaurant","Restaurant","4260259008385768583","London","GB","0x48760425e32a5555:0x3b1f7aff0dfddc87","https://lh3.googleusercontent.com/p/AF1QipM-7Cyajw5hAFn7xSet88mn1LHlBIDGb6JW4Oli=w408-h408-k-no","false","false","en","0","51.436157","-0.127615","JOSE CRISTAS ALMEIDA",,"en","false","ChIJVVUq4yUEdkgRh9z9Df96Hzs","SW16 1DT","£20–30","6 hours ago","2025-04-30T10:41:46.060Z",,,,,"Moderate noise",,"£10–20",,,,"No wait","4","4","4","ChZDSUhNMG9nS0VJQ0FnTUNZMEw2WFZnEAE","https://lh3.googleusercontent.com/geougc-cs/AIHozJL7Dhd1q1t73ijZQxgKxo7ps8_c-U1FCz_TggLFeKTuYfL3Knhk3x0O6NJVsbCCZNaGcy1jMIGfYU6IiJUAuFVuN6-TS8Eh_GuAreGA-Q01wdh7xOfGOtHhp9j8RH-tz50bk0LNHQ",,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNZMEw2WFZnEAE!2m1!1s0x0:0x3b1f7aff0dfddc87!3m1!1s2@1:CIHM0ogKEICAgMCY0L6XVg%7CCgsI6vzHwAYQgK7tHA%7C?hl=en","103257601802441102124","7","https://lh3.googleusercontent.com/a-/ALV-UjXA_OS-wkyqG72KRuZPB9XhAJt-YmREtiYVhET0qAGIEDyH6Q4m=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/103257601802441102124?hl=en","434","2025-04-30T16:45:17.495Z","Direct Detail URL: https://www.google.co.uk/maps/place/Marinatto/@51.436079,-0.129857,354m/data=!3m1!1e3!4m8!3m7!1s0x48760425e32a5555:0x3b1f7aff0dfddc87!8m2!3d51.436157!4d-0.127615!9m1!1b1!16s%2Fg%2F11j1hz45q5?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","4",,"Ground Floor, 27 Streatham High Rd","false","Very good but not that much",,"Marinatto","4.6",,"https://www.google.com/maps/search/?api=1&query=Marinatto&query_place_id=ChIJVVUq4yUEdkgRh9z9Df96Hzs",
"Ground Floor, 27 Streatham High Rd, London SW16 1DT, United Kingdom","Restaurant","Espresso bar","Pizza restaurant","Restaurant","4260259008385768583","London","GB","0x48760425e32a5555:0x3b1f7aff0dfddc87","https://lh3.googleusercontent.com/p/AF1QipM-7Cyajw5hAFn7xSet88mn1LHlBIDGb6JW4Oli=w408-h408-k-no","false","false","en","0","51.436157","-0.127615","Aclaudio Shenriques",,,"false","ChIJVVUq4yUEdkgRh9z9Df96Hzs","SW16 1DT","£20–30","4 days ago","2025-04-25T19:08:42.834Z",,,,,,,,,,,,"5","5","5","ChdDSUhNMG9nS0VJQ0FnTURvNFlTajNRRRAB",,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURvNFlTajNRRRAB!2m1!1s0x0:0x3b1f7aff0dfddc87!3m1!1s2@1:CIHM0ogKEICAgMDo4YSj3QE%7CCgwIuruvwAYQuIfqjQM%7C?hl=en","105162236522546600526","0","https://lh3.googleusercontent.com/a-/ALV-UjUPf9svC-xWGr4rwPd76qUfWeKiHvBw6NCMKvetFA-cKfqb-5o=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/105162236522546600526?hl=en","434","2025-04-30T16:45:17.495Z","Direct Detail URL: https://www.google.co.uk/maps/place/Marinatto/@51.436079,-0.129857,354m/data=!3m1!1e3!4m8!3m7!1s0x48760425e32a5555:0x3b1f7aff0dfddc87!8m2!3d51.436157!4d-0.127615!9m1!1b1!16s%2Fg%2F11j1hz45q5?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","5",,"Ground Floor, 27 Streatham High Rd","false",,,"Marinatto","4.6",,"https://www.google.com/maps/search/?api=1&query=Marinatto&query_place_id=ChIJVVUq4yUEdkgRh9z9Df96Hzs",
"Ground Floor, 27 Streatham High Rd, London SW16 1DT, United Kingdom","Restaurant","Espresso bar","Pizza restaurant","Restaurant","4260259008385768583","London","GB","0x48760425e32a5555:0x3b1f7aff0dfddc87","https://lh3.googleusercontent.com/p/AF1QipM-7Cyajw5hAFn7xSet88mn1LHlBIDGb6JW4Oli=w408-h408-k-no","false","false","en","0","51.436157","-0.127615","Fabiana Piccirillo",,,"false","ChIJVVUq4yUEdkgRh9z9Df96Hzs","SW16 1DT","£20–30","6 days ago","2025-04-23T22:33:14.873Z",,,,,,,,,,,,,,,"ChdDSUhNMG9nS0VJQ0FnTURvbXVTZmxBRRAB",,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURvbXVTZmxBRRAB!2m1!1s0x0:0x3b1f7aff0dfddc87!3m1!1s2@1:CIHM0ogKEICAgMDomuSflAE%7CCgwIqtWlwAYQkOrMoAM%7C?hl=en","114848793901967008237","0","https://lh3.googleusercontent.com/a/ACg8ocJh26opFfYiP0asGvKVkqE2sZfj1PQ3IX_X9r6pEABGc52VLA=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/114848793901967008237?hl=en","434","2025-04-30T16:45:17.495Z","Direct Detail URL: https://www.google.co.uk/maps/place/Marinatto/@51.436079,-0.129857,354m/data=!3m1!1e3!4m8!3m7!1s0x48760425e32a5555:0x3b1f7aff0dfddc87!8m2!3d51.436157!4d-0.127615!9m1!1b1!16s%2Fg%2F11j1hz45q5?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","5",,"Ground Floor, 27 Streatham High Rd","false",,,"Marinatto","4.6",,"https://www.google.com/maps/search/?api=1&query=Marinatto&query_place_id=ChIJVVUq4yUEdkgRh9z9Df96Hzs",
"Ground Floor, 27 Streatham High Rd, London SW16 1DT, United Kingdom","Restaurant","Espresso bar","Pizza restaurant","Restaurant","4260259008385768583","London","GB","0x48760425e32a5555:0x3b1f7aff0dfddc87","https://lh3.googleusercontent.com/p/AF1QipM-7Cyajw5hAFn7xSet88mn1LHlBIDGb6JW4Oli=w408-h408-k-no","false","false","en","0","51.436157","-0.127615","Dani Falsetti",,,"false","ChIJVVUq4yUEdkgRh9z9Df96Hzs","SW16 1DT","£20–30","a week ago","2025-04-20T21:32:12.653Z",,,,"Dinner",,,"£10–20",,,"Dine in",,"5","5","5","ChdDSUhNMG9nS0VJQ0FnTUNvejQzY3R3RRAB",,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNvejQzY3R3RRAB!2m1!1s0x0:0x3b1f7aff0dfddc87!3m1!1s2@1:CIHM0ogKEICAgMCoz43ctwE%7CCgwI3M-VwAYQoMa2twI%7C?hl=en","112847493214392852704","0","https://lh3.googleusercontent.com/a-/ALV-UjW18wsT-8RSvY4yU0VE6o3NXwZRlUGW55ZR5h9IRGV3mFQfI9CV=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/112847493214392852704?hl=en","434","2025-04-30T16:45:17.495Z","Direct Detail URL: https://www.google.co.uk/maps/place/Marinatto/@51.436079,-0.129857,354m/data=!3m1!1e3!4m8!3m7!1s0x48760425e32a5555:0x3b1f7aff0dfddc87!8m2!3d51.436157!4d-0.127615!9m1!1b1!16s%2Fg%2F11j1hz45q5?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","5",,"Ground Floor, 27 Streatham High Rd","false",,,"Marinatto","4.6",,"https://www.google.com/maps/search/?api=1&query=Marinatto&query_place_id=ChIJVVUq4yUEdkgRh9z9Df96Hzs",
"Ground Floor, 27 Streatham High Rd, London SW16 1DT, United Kingdom","Restaurant","Espresso bar","Pizza restaurant","Restaurant","4260259008385768583","London","GB","0x48760425e32a5555:0x3b1f7aff0dfddc87","https://lh3.googleusercontent.com/p/AF1QipM-7Cyajw5hAFn7xSet88mn1LHlBIDGb6JW4Oli=w408-h408-k-no","false","false","en","0","51.436157","-0.127615","silmara down",,"pt","false","ChIJVVUq4yUEdkgRh9z9Df96Hzs","SW16 1DT","£20–30","a week ago","2025-04-19T12:36:12.594Z",,"2025-04-20T00:13:52.000Z","Muito obrigada pelo feedback Silmara!",,,,,,,,,"5","5","5","ChZDSUhNMG9nS0VJQ0FnTUNvd19DNUlREAE","https://lh3.googleusercontent.com/geougc-cs/AIHozJJbfk6MGQUBPecCaOc3WkpGnasvSuiSPx38YAk6xvE2xg_XdImFE7OYRpITbz8ZXpGYJ6TqpuDEROYGVFZ8JbiRpEtSW-AYWkBgmCxp2CQn1iC9dkDNuJf2znfuVIcMMaFclJwA-g","https://lh3.googleusercontent.com/geougc-cs/AIHozJLJebJToxejR-j6puqVN_xZvMobEOhkfT3DU0VEQRvjDTpkaO6DBJbMZken78PEXRaqebCZ_88XqzYHA48lJ4CuSk4q24EMrU9anKzPKT9NNl9WSG2ClSs3PuSKFmxZisafXT-B",,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNvd19DNUlREAE!2m1!1s0x0:0x3b1f7aff0dfddc87!3m1!1s2@1:CIHM0ogKEICAgMCow_C5IQ%7CCgwIvLGOwAYQ0ICfmwI%7C?hl=en","111421443662743444002","11","https://lh3.googleusercontent.com/a/ACg8ocIn6E8O_sO3pKtUzHNAkbRvvLUuo6lbO1yRGaRO90e1IXAUUQ=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/111421443662743444002?hl=en","434","2025-04-30T16:45:17.495Z","Direct Detail URL: https://www.google.co.uk/maps/place/Marinatto/@51.436079,-0.129857,354m/data=!3m1!1e3!4m8!3m7!1s0x48760425e32a5555:0x3b1f7aff0dfddc87!8m2!3d51.436157!4d-0.127615!9m1!1b1!16s%2Fg%2F11j1hz45q5?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","5",,"Ground Floor, 27 Streatham High Rd","false","Pedi pastel e caldo de cana para viagem, pastel bem recheado, veio vinagrete , tudo fresquinho e bem cuidado","I ordered a pastel and sugarcane juice to go, a very well-filled pastel, it came with vinaigrette, everything was fresh and well-kept.","Marinatto","4.6","en","https://www.google.com/maps/search/?api=1&query=Marinatto&query_place_id=ChIJVVUq4yUEdkgRh9z9Df96Hzs",
"Ground Floor, 27 Streatham High Rd, London SW16 1DT, United Kingdom","Restaurant","Espresso bar","Pizza restaurant","Restaurant","4260259008385768583","London","GB","0x48760425e32a5555:0x3b1f7aff0dfddc87","https://lh3.googleusercontent.com/p/AF1QipM-7Cyajw5hAFn7xSet88mn1LHlBIDGb6JW4Oli=w408-h408-k-no","false","true","en","0","51.436157","-0.127615","Jéssyca Manfredini",,"en","false","ChIJVVUq4yUEdkgRh9z9Df96Hzs","SW16 1DT","£20–30","a week ago","2025-04-19T09:13:05.622Z",,"2024-06-07T09:46:02.000Z","Thank you Jéssyca. You are always welcome! See you soon","Dinner",,,"£20–30",,,"Dine in",,"5","5","5","ChdDSUhNMG9nS0VJQ0FnSUR6aUluUXZ3RRAB","https://lh3.googleusercontent.com/geougc-cs/AIHozJJQgPu9hNAWUmo9bf--2dChWF3949O_SVgWoaGBsVo4D8GuS5pnYGE0shsRF0x8WECplohUZ54hKLVM-4uSCF102ygABVfzFeJPKrzNUdq5UhLZOXuYM1QGp3X8AhSZP8061A",,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUR6aUluUXZ3RRAB!2m1!1s0x0:0x3b1f7aff0dfddc87!3m1!1s2@1:CIHM0ogKEICAgIDziInQvwE%7CCgwIodKNwAYQgOL5qAI%7C?hl=en","104618858278157667337","24","https://lh3.googleusercontent.com/a/ACg8ocIIr3ssyliPVf4y7n-RwO2iMHb3Z2ep6KSN93plORzuOqF9jA=s1920-c-rp-mo-ba3-br100","https://www.google.com/maps/contrib/104618858278157667337?hl=en","434","2025-04-30T16:45:17.495Z","Direct Detail URL: https://www.google.co.uk/maps/place/Marinatto/@51.436079,-0.129857,354m/data=!3m1!1e3!4m8!3m7!1s0x48760425e32a5555:0x3b1f7aff0dfddc87!8m2!3d51.436157!4d-0.127615!9m1!1b1!16s%2Fg%2F11j1hz45q5?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","5",,"Ground Floor, 27 Streatham High Rd","false","Really great Brazilian style food and pizza. I do recommend. They do have chicken with ""catupiry"" famous Brazilian cream cheese! 😊",,"Marinatto","4.6",,"https://www.google.com/maps/search/?api=1&query=Marinatto&query_place_id=ChIJVVUq4yUEdkgRh9z9Df96Hzs",
"Ground Floor, 27 Streatham High Rd, London SW16 1DT, United Kingdom","Restaurant","Espresso bar","Pizza restaurant","Restaurant","4260259008385768583","London","GB","0x48760425e32a5555:0x3b1f7aff0dfddc87","https://lh3.googleusercontent.com/p/AF1QipM-7Cyajw5hAFn7xSet88mn1LHlBIDGb6JW4Oli=w408-h408-k-no","false","false","en","0","51.436157","-0.127615","Graham Syme",,"en","false","ChIJVVUq4yUEdkgRh9z9Df96Hzs","SW16 1DT","£20–30","a week ago","2025-04-17T23:20:19.285Z",,"2025-04-20T00:15:02.000Z","Thank you so much for the kind words! We’re thrilled to hear you enjoyed both our venues on Streatham High Road, and that our team and atmosphere made a great impression on you.

We’re glad you noticed our special offers—it's always our goal to bring something fresh and exciting to the community, whether you're a long-time local or new to the area.

We look forward to welcoming you back soon. Cheers from all of us at Marinatto!","Other",,,"£1–10",,,"Dine in",,"5","5","5","ChdDSUhNMG9nS0VJQ0FnTUNvZ3VpOXh3RRAB",,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNvZ3VpOXh3RRAB!2m1!1s0x0:0x3b1f7aff0dfddc87!3m1!1s2@1:CIHM0ogKEICAgMCogui9xwE%7CCgwIs5mGwAYQgJCtiAE%7C?hl=en","101267868288970176662","7","https://lh3.googleusercontent.com/a-/ALV-UjUorVeFy1XdqY9q8h3mqs1A1izjaEEAKNSKvKHVWCRtXoA0cqgn=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/101267868288970176662?hl=en","434","2025-04-30T16:45:17.495Z","Direct Detail URL: https://www.google.co.uk/maps/place/Marinatto/@51.436079,-0.129857,354m/data=!3m1!1e3!4m8!3m7!1s0x48760425e32a5555:0x3b1f7aff0dfddc87!8m2!3d51.436157!4d-0.127615!9m1!1b1!16s%2Fg%2F11j1hz45q5?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","5",,"Ground Floor, 27 Streatham High Rd","false","Brilliant venue based on both sides of Streatham High Road! Fantastic staff & good atmosphere. Marinatto offer some interesting 'special offers' that locals and those new to the area should check out!  Will revisit soon.  Cheers!",,"Marinatto","4.6",,"https://www.google.com/maps/search/?api=1&query=Marinatto&query_place_id=ChIJVVUq4yUEdkgRh9z9Df96Hzs",
"Ground Floor, 27 Streatham High Rd, London SW16 1DT, United Kingdom","Restaurant","Espresso bar","Pizza restaurant","Restaurant","4260259008385768583","London","GB","0x48760425e32a5555:0x3b1f7aff0dfddc87","https://lh3.googleusercontent.com/p/AF1QipM-7Cyajw5hAFn7xSet88mn1LHlBIDGb6JW4Oli=w408-h408-k-no","false","false","en","0","51.436157","-0.127615","Elbert Jonas dos santos",,"pt","false","ChIJVVUq4yUEdkgRh9z9Df96Hzs","SW16 1DT","£20–30","a week ago","2025-04-16T20:24:03.138Z",,"2025-04-20T00:13:24.000Z","Lamentamos profundamente a experiência negativa que você teve ao entrar em contato conosco. Em primeiro lugar, agradecemos por nos informar sobre o ocorrido — é através desse tipo de feedback que conseguimos melhorar continuamente nosso atendimento.

Pedimos sinceras desculpas se a forma como você foi atendido não refletiu o padrão de cordialidade e respeito que prezamos em nosso restaurante. Essa situação não condiz com os valores da nossa equipe, e iremos averiguar o que aconteceu para que isso não volte a ocorrer.

Sobre a solicitação de pagamento antecipado, essa é uma medida que aplicamos em alguns casos por questões de segurança e organização, mas entendemos que ela deve ser sempre comunicada com empatia e respeito, principalmente com clientes que já são da casa, como você mencionou.

Tenha certeza de que vamos conversar internamente sobre o ocorrido. Mais uma vez, lamentamos o transtorno e agradecemos por nos dar a oportunidade de rever e melhorar nosso atendimento.

Estamos à disposição e esperamos poder atendê-lo melhor em uma próxima oportunidade.",,,,"£40–50",,,,,"1","3","1","ChdDSUhNMG9nS0VJQ0FnTUNvNXZ1WGh3RRAB",,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNvNXZ1WGh3RRAB!2m1!1s0x0:0x3b1f7aff0dfddc87!3m1!1s2@1:CIHM0ogKEICAgMCo5vuXhwE%7CCgsI46OAwAYQ-Pf_QQ%7C?hl=en","118325629868015467633","2","https://lh3.googleusercontent.com/a-/ALV-UjVGSU915FAOxSs0FOu7RWUgLrtEcJaoj5_T3kdV0FcmX9OFB5ae7A=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/118325629868015467633?hl=en","434","2025-04-30T16:45:17.495Z","Direct Detail URL: https://www.google.co.uk/maps/place/Marinatto/@51.436079,-0.129857,354m/data=!3m1!1e3!4m8!3m7!1s0x48760425e32a5555:0x3b1f7aff0dfddc87!8m2!3d51.436157!4d-0.127615!9m1!1b1!16s%2Fg%2F11j1hz45q5?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","1",,"Ground Floor, 27 Streatham High Rd","false","Liguei para pedir uma pizza a atendente foi super arrogante desligou o telefone na minha cara não quis argumento e falou que eu teria que ir até lá para primeiro realizar o pagamento para depois mandar o pedido para cozinha sendo que eu já sou cliente do local inadmissível atendimento dela eu recomendo a Paulo que é o dono do estabelecimento analisar essa funcionária Serviço","I called to order a pizza and the attendant was super arrogant, hung up the phone on me, didn't want an argument and said that I would have to go there to first make the payment and then send the order to the kitchen, even though I am already a customer of the place. Her service is unacceptable. I recommend that Paulo, who is the owner of the establishment, analyze this employee. Service","Marinatto","4.6","en","https://www.google.com/maps/search/?api=1&query=Marinatto&query_place_id=ChIJVVUq4yUEdkgRh9z9Df96Hzs",
"Ground Floor, 27 Streatham High Rd, London SW16 1DT, United Kingdom","Restaurant","Espresso bar","Pizza restaurant","Restaurant","4260259008385768583","London","GB","0x48760425e32a5555:0x3b1f7aff0dfddc87","https://lh3.googleusercontent.com/p/AF1QipM-7Cyajw5hAFn7xSet88mn1LHlBIDGb6JW4Oli=w408-h408-k-no","false","false","en","0","51.436157","-0.127615","Kaique Chiorato",,"en","false","ChIJVVUq4yUEdkgRh9z9Df96Hzs","SW16 1DT","£20–30","2 weeks ago","2025-04-15T22:21:16.241Z",,,,"Dinner",,,"£20–30",,,"Dine in",,"2","5","1","ChZDSUhNMG9nS0VJQ0FnTUNva3NtalF3EAE",,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNva3NtalF3EAE!2m1!1s0x0:0x3b1f7aff0dfddc87!3m1!1s2@1:CIHM0ogKEICAgMCoksmjQw%7CCgsI3Lf7vwYQ4LOscw%7C?hl=en","110358486415115228548","1","https://lh3.googleusercontent.com/a/ACg8ocJiB-zGdKRPa51BRltNtt4Xl_ExZ_TqKbPIlHvOao0wkFj0TA=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/110358486415115228548?hl=en","434","2025-04-30T16:45:17.495Z","Direct Detail URL: https://www.google.co.uk/maps/place/Marinatto/@51.436079,-0.129857,354m/data=!3m1!1e3!4m8!3m7!1s0x48760425e32a5555:0x3b1f7aff0dfddc87!8m2!3d51.436157!4d-0.127615!9m1!1b1!16s%2Fg%2F11j1hz45q5?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","2",,"Ground Floor, 27 Streatham High Rd","false","Disappointing Service on a Special Occasion

I’ve always enjoyed dining at Marinatto, as their Brazilian dishes, especially the Brazilian style pizza, are consistently delicious. However, my recent visit on 15/04 for my birthday left a lot to be desired in terms of service.

While I was looking forward to celebrating with some great food and a cake my brother brought, the experience was marred by the handling of the cake. After asking a waiter to bring it out, he simply placed the bag with the cake in the middle of the table without any effort to present it nicely. We didn’t expect much, just a bit of common sense, like taking the cake out of the box, or at the very least, lighting the candles. I had to borrow a lighter from the table next to us! Plates were provided after they saw me asking the lighter for the next table.

Although we ended up paying for the service because our waitress was pleasant, the male staff member who dropped the bag on our table clearly doesn’t understand what good service entails. It’s a shame as simple things can change the experience. I hope they can improve their service in the future.",,"Marinatto","4.6",,"https://www.google.com/maps/search/?api=1&query=Marinatto&query_place_id=ChIJVVUq4yUEdkgRh9z9Df96Hzs",
