"address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categoryName","cid","city","countryCode","fid","imageUrl","isAdvertisement","isLocalGuide","language","likesCount","location/lat","location/lng","name","neighborhood","originalLanguage","permanentlyClosed","placeId","postalCode","price","publishAt","publishedAtDate","rating","responseFromOwnerDate","responseFromOwnerText","reviewContext/Noise level","reviewContext/Parking space","reviewContext/Price per person","reviewDetailedRating/Atmosphere","reviewDetailedRating/Food","reviewDetailedRating/Service","reviewId","reviewImageUrls/0","reviewImageUrls/1","reviewImageUrls/2","reviewImageUrls/3","reviewImageUrls/4","reviewImageUrls/5","reviewImageUrls/6","reviewImageUrls/7","reviewImageUrls/8","reviewOrigin","reviewUrl","reviewerId","reviewerNumberOfReviews","reviewerPhotoUrl","reviewerUrl","reviewsCount","scrapedAt","searchString","stars","state","street","temporarilyClosed","text","textTranslated","title","totalScore","translatedLanguage","url","visitedIn"
"103 Streatham Hill, London SW2 4UE, United Kingdom","Karaoke bar","Bar","Indoor golf course","Live music bar","Live music venue","Miniature golf course","Pool billard club","Pub","Sports bar","Karaoke bar","16009114957069098696","London","GB","0x4876053acf59d889:0xde2bcd3bc87f1ec8","https://lh3.googleusercontent.com/p/AF1QipNORy6DaOqwS4J69_TmNETDcffg1g8qM_tzOyLG=w408-h408-k-no","false","true","en","0","51.4386367","-0.1261297","Adrian Alfonso",,"en","false","ChIJidhZzzoFdkgRyB5_yDvNK94","SW2 4UE","£10–20","2 days ago","2025-04-28T10:50:15.472Z",,,,,,"£20–30","5",,"5","ChdDSUhNMG9nS0VJQ0FnTURvNDVLUW9BRRAB",,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURvNDVLUW9BRRAB!2m1!1s0x0:0xde2bcd3bc87f1ec8!3m1!1s2@1:CIHM0ogKEICAgMDo45KQoAE%7CCgwI57q9wAYQ8MGb4QE%7C?hl=en","101507532828485304863","120","https://lh3.googleusercontent.com/a-/ALV-UjUoJqMKYVsJ67FT7koCuVjtemarH0isLEwb4YPhhNsXadDz7sdz=s1920-c-rp-mo-ba4-br100","https://www.google.com/maps/contrib/101507532828485304863?hl=en","791","2025-04-30T16:47:33.596Z","Direct Detail URL: https://www.google.co.uk/maps/place/Putt+Putt+%26+Karaoke+Bar/@51.4382755,-0.1287154,436m/data=!3m1!1e3!4m8!3m7!1s0x4876053acf59d889:0xde2bcd3bc87f1ec8!8m2!3d51.4386367!4d-0.1261297!9m1!1b1!16s%2Fg%2F11r_vnthr4?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","5",,"103 Streatham Hill","false","Really fun place, 3 separate places to do karaoke, they make good cocktails too. Accommodating staff too!",,"Putt Putt & Karaoke Bar","4.5",,"https://www.google.com/maps/search/?api=1&query=Putt%20Putt%20%26%20Karaoke%20Bar&query_place_id=ChIJidhZzzoFdkgRyB5_yDvNK94",
"103 Streatham Hill, London SW2 4UE, United Kingdom","Karaoke bar","Bar","Indoor golf course","Live music bar","Live music venue","Miniature golf course","Pool billard club","Pub","Sports bar","Karaoke bar","16009114957069098696","London","GB","0x4876053acf59d889:0xde2bcd3bc87f1ec8","https://lh3.googleusercontent.com/p/AF1QipNORy6DaOqwS4J69_TmNETDcffg1g8qM_tzOyLG=w408-h408-k-no","false","false","en","0","51.4386367","-0.1261297","Jaz Jameson-Allen",,"en","false","ChIJidhZzzoFdkgRyB5_yDvNK94","SW2 4UE","£10–20","3 days ago","2025-04-26T21:23:04.606Z",,,,,,,"5","5","5","ChZDSUhNMG9nS0VJQ0FnTURveGJqOVFREAE",,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTURveGJqOVFREAE!2m1!1s0x0:0xde2bcd3bc87f1ec8!3m1!1s2@1:CIHM0ogKEICAgMDoxbj9QQ%7CCgwIuJ21wAYQ4LmUoQI%7C?hl=en","112312795854337797713","3","https://lh3.googleusercontent.com/a/ACg8ocJ9Scu1rSgrpg9mNCvAXAg_3ASoxi_GyjCnEkytXHVcxK7UsQ=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/112312795854337797713?hl=en","791","2025-04-30T16:47:33.596Z","Direct Detail URL: https://www.google.co.uk/maps/place/Putt+Putt+%26+Karaoke+Bar/@51.4382755,-0.1287154,436m/data=!3m1!1e3!4m8!3m7!1s0x4876053acf59d889:0xde2bcd3bc87f1ec8!8m2!3d51.4386367!4d-0.1261297!9m1!1b1!16s%2Fg%2F11r_vnthr4?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","5",,"103 Streatham Hill","false","Putt putt was a great venue for my friend’s birthday! Free karaoke..! And Isaac the bartender!",,"Putt Putt & Karaoke Bar","4.5",,"https://www.google.com/maps/search/?api=1&query=Putt%20Putt%20%26%20Karaoke%20Bar&query_place_id=ChIJidhZzzoFdkgRyB5_yDvNK94",
"103 Streatham Hill, London SW2 4UE, United Kingdom","Karaoke bar","Bar","Indoor golf course","Live music bar","Live music venue","Miniature golf course","Pool billard club","Pub","Sports bar","Karaoke bar","16009114957069098696","London","GB","0x4876053acf59d889:0xde2bcd3bc87f1ec8","https://lh3.googleusercontent.com/p/AF1QipNORy6DaOqwS4J69_TmNETDcffg1g8qM_tzOyLG=w408-h408-k-no","false","true","en","0","51.4386367","-0.1261297","Henry Wells",,"en","false","ChIJidhZzzoFdkgRyB5_yDvNK94","SW2 4UE","£10–20","3 days ago","2025-04-26T21:23:00.752Z",,,,,,,"5","5","5","ChZDSUhNMG9nS0VJQ0FnTURveGJqTmZnEAE",,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTURveGJqTmZnEAE!2m1!1s0x0:0xde2bcd3bc87f1ec8!3m1!1s2@1:CIHM0ogKEICAgMDoxbjNfg%7CCgwItJ21wAYQsNTl5gI%7C?hl=en","107209719271958314882","62","https://lh3.googleusercontent.com/a/ACg8ocIPtAxVSCxJdWvlN8RKalf9yO4fycGIJPx1EkUmUHppZaVWOw=s1920-c-rp-mo-ba3-br100","https://www.google.com/maps/contrib/107209719271958314882?hl=en","791","2025-04-30T16:47:33.596Z","Direct Detail URL: https://www.google.co.uk/maps/place/Putt+Putt+%26+Karaoke+Bar/@51.4382755,-0.1287154,436m/data=!3m1!1e3!4m8!3m7!1s0x4876053acf59d889:0xde2bcd3bc87f1ec8!8m2!3d51.4386367!4d-0.1261297!9m1!1b1!16s%2Fg%2F11r_vnthr4?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","5",,"103 Streatham Hill","false","Isaac was a phenomenal bartender, he was kind, handsome and attentive. Would reccomend",,"Putt Putt & Karaoke Bar","4.5",,"https://www.google.com/maps/search/?api=1&query=Putt%20Putt%20%26%20Karaoke%20Bar&query_place_id=ChIJidhZzzoFdkgRyB5_yDvNK94",
"103 Streatham Hill, London SW2 4UE, United Kingdom","Karaoke bar","Bar","Indoor golf course","Live music bar","Live music venue","Miniature golf course","Pool billard club","Pub","Sports bar","Karaoke bar","16009114957069098696","London","GB","0x4876053acf59d889:0xde2bcd3bc87f1ec8","https://lh3.googleusercontent.com/p/AF1QipNORy6DaOqwS4J69_TmNETDcffg1g8qM_tzOyLG=w408-h408-k-no","false","false","en","0","51.4386367","-0.1261297","Tom Hawkins",,"en","false","ChIJidhZzzoFdkgRyB5_yDvNK94","SW2 4UE","£10–20","3 days ago","2025-04-26T21:22:41.385Z",,,,,,,"5","5","5","ChdDSUhNMG9nS0VJQ0FnTURveGJpYXdnRRAB",,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURveGJpYXdnRRAB!2m1!1s0x0:0xde2bcd3bc87f1ec8!3m1!1s2@1:CIHM0ogKEICAgMDoxbiawgE%7CCgwIoZ21wAYQ6KHttwE%7C?hl=en","104067211850999461776","2","https://lh3.googleusercontent.com/a/ACg8ocJVurSUIBYle3jrHHUWR9PfwaNZBH3CYW-oBAPxEraAFqgdEEMD=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/104067211850999461776?hl=en","791","2025-04-30T16:47:33.596Z","Direct Detail URL: https://www.google.co.uk/maps/place/Putt+Putt+%26+Karaoke+Bar/@51.4382755,-0.1287154,436m/data=!3m1!1e3!4m8!3m7!1s0x4876053acf59d889:0xde2bcd3bc87f1ec8!8m2!3d51.4386367!4d-0.1261297!9m1!1b1!16s%2Fg%2F11r_vnthr4?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","5",,"103 Streatham Hill","false","Great beer selection, football on the tv, karaoke and pool, what more can you want  and Isaac behind the bar is a King",,"Putt Putt & Karaoke Bar","4.5",,"https://www.google.com/maps/search/?api=1&query=Putt%20Putt%20%26%20Karaoke%20Bar&query_place_id=ChIJidhZzzoFdkgRyB5_yDvNK94",
"103 Streatham Hill, London SW2 4UE, United Kingdom","Karaoke bar","Bar","Indoor golf course","Live music bar","Live music venue","Miniature golf course","Pool billard club","Pub","Sports bar","Karaoke bar","16009114957069098696","London","GB","0x4876053acf59d889:0xde2bcd3bc87f1ec8","https://lh3.googleusercontent.com/p/AF1QipNORy6DaOqwS4J69_TmNETDcffg1g8qM_tzOyLG=w408-h408-k-no","false","false","en","0","51.4386367","-0.1261297","Zak Pearce",,"en","false","ChIJidhZzzoFdkgRyB5_yDvNK94","SW2 4UE","£10–20","3 days ago","2025-04-26T17:08:23.467Z",,,,,,"£10–20","5",,"5","ChdDSUhNMG9nS0VJQ0FnTURvdWJmUHFnRRAB",,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURvdWJmUHFnRRAB!2m1!1s0x0:0xde2bcd3bc87f1ec8!3m1!1s2@1:CIHM0ogKEICAgMDoubfPqgE%7CCgwIh6a0wAYQ4NaA3wE%7C?hl=en","101801345800938045351","5","https://lh3.googleusercontent.com/a/ACg8ocJvzMkbZpKBi7oYVc7zuxVTZUhMl4bmPjn5Ahdr13S-LcCz0Q=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/101801345800938045351?hl=en","791","2025-04-30T16:47:33.596Z","Direct Detail URL: https://www.google.co.uk/maps/place/Putt+Putt+%26+Karaoke+Bar/@51.4382755,-0.1287154,436m/data=!3m1!1e3!4m8!3m7!1s0x4876053acf59d889:0xde2bcd3bc87f1ec8!8m2!3d51.4386367!4d-0.1261297!9m1!1b1!16s%2Fg%2F11r_vnthr4?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","5",,"103 Streatham Hill","false","Didn't order the food, but for karaoke, darts, table football, and watching sports, you can't beat this friendly quirky little bar",,"Putt Putt & Karaoke Bar","4.5",,"https://www.google.com/maps/search/?api=1&query=Putt%20Putt%20%26%20Karaoke%20Bar&query_place_id=ChIJidhZzzoFdkgRyB5_yDvNK94",
"103 Streatham Hill, London SW2 4UE, United Kingdom","Karaoke bar","Bar","Indoor golf course","Live music bar","Live music venue","Miniature golf course","Pool billard club","Pub","Sports bar","Karaoke bar","16009114957069098696","London","GB","0x4876053acf59d889:0xde2bcd3bc87f1ec8","https://lh3.googleusercontent.com/p/AF1QipNORy6DaOqwS4J69_TmNETDcffg1g8qM_tzOyLG=w408-h408-k-no","false","false","en","0","51.4386367","-0.1261297","Laura",,,"false","ChIJidhZzzoFdkgRyB5_yDvNK94","SW2 4UE","£10–20","4 days ago","2025-04-25T22:34:13.140Z",,,,,,"£10–20","5","5","5","ChdDSUhNMG9nS0VJQ0FnTURvMGRDUHFRRRAB",,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURvMGRDUHFRRRAB!2m1!1s0x0:0xde2bcd3bc87f1ec8!3m1!1s2@1:CIHM0ogKEICAgMDo0dCPqQE%7CCgsI5ZuwwAYQqLKOQw%7C?hl=en","102097161444856764828","0","https://lh3.googleusercontent.com/a/ACg8ocKAtYeTGocX1tvS0EU8_O0SMxKWsIkCWuCVVWyOS1Vtvscomw=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/102097161444856764828?hl=en","791","2025-04-30T16:47:33.596Z","Direct Detail URL: https://www.google.co.uk/maps/place/Putt+Putt+%26+Karaoke+Bar/@51.4382755,-0.1287154,436m/data=!3m1!1e3!4m8!3m7!1s0x4876053acf59d889:0xde2bcd3bc87f1ec8!8m2!3d51.4386367!4d-0.1261297!9m1!1b1!16s%2Fg%2F11r_vnthr4?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","5",,"103 Streatham Hill","false",,,"Putt Putt & Karaoke Bar","4.5",,"https://www.google.com/maps/search/?api=1&query=Putt%20Putt%20%26%20Karaoke%20Bar&query_place_id=ChIJidhZzzoFdkgRyB5_yDvNK94",
"103 Streatham Hill, London SW2 4UE, United Kingdom","Karaoke bar","Bar","Indoor golf course","Live music bar","Live music venue","Miniature golf course","Pool billard club","Pub","Sports bar","Karaoke bar","16009114957069098696","London","GB","0x4876053acf59d889:0xde2bcd3bc87f1ec8","https://lh3.googleusercontent.com/p/AF1QipNORy6DaOqwS4J69_TmNETDcffg1g8qM_tzOyLG=w408-h408-k-no","false","false","en","0","51.4386367","-0.1261297","maya mulholland",,,"false","ChIJidhZzzoFdkgRyB5_yDvNK94","SW2 4UE","£10–20","4 days ago","2025-04-25T22:33:59.068Z",,,,,,"£10–20","5","5","5","ChdDSUhNMG9nS0VJQ0FnTURvMGRDMTN3RRAB",,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURvMGRDMTN3RRAB!2m1!1s0x0:0xde2bcd3bc87f1ec8!3m1!1s2@1:CIHM0ogKEICAgMDo0dC13wE%7CCgsI15uwwAYQgJHBIA%7C?hl=en","117011147186258212954","0","https://lh3.googleusercontent.com/a-/ALV-UjV6Kr4fs-52vCnBlX4gaD8hPzLxTtkTgjscIqhVuTwyiNtA_VF9=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/117011147186258212954?hl=en","791","2025-04-30T16:47:33.596Z","Direct Detail URL: https://www.google.co.uk/maps/place/Putt+Putt+%26+Karaoke+Bar/@51.4382755,-0.1287154,436m/data=!3m1!1e3!4m8!3m7!1s0x4876053acf59d889:0xde2bcd3bc87f1ec8!8m2!3d51.4386367!4d-0.1261297!9m1!1b1!16s%2Fg%2F11r_vnthr4?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","5",,"103 Streatham Hill","false",,,"Putt Putt & Karaoke Bar","4.5",,"https://www.google.com/maps/search/?api=1&query=Putt%20Putt%20%26%20Karaoke%20Bar&query_place_id=ChIJidhZzzoFdkgRyB5_yDvNK94",
"103 Streatham Hill, London SW2 4UE, United Kingdom","Karaoke bar","Bar","Indoor golf course","Live music bar","Live music venue","Miniature golf course","Pool billard club","Pub","Sports bar","Karaoke bar","16009114957069098696","London","GB","0x4876053acf59d889:0xde2bcd3bc87f1ec8","https://lh3.googleusercontent.com/p/AF1QipNORy6DaOqwS4J69_TmNETDcffg1g8qM_tzOyLG=w408-h408-k-no","false","false","en","0","51.4386367","-0.1261297","maddie francey",,,"false","ChIJidhZzzoFdkgRyB5_yDvNK94","SW2 4UE","£10–20","4 days ago","2025-04-25T22:33:17.370Z",,,,,,,,,,"ChdDSUhNMG9nS0VJQ0FnTURvMFpDcnNRRRAB",,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURvMFpDcnNRRRAB!2m1!1s0x0:0xde2bcd3bc87f1ec8!3m1!1s2@1:CIHM0ogKEICAgMDo0ZCrsQE%7CCgwIrZuwwAYQyN26sAE%7C?hl=en","110608735393451424308","0","https://lh3.googleusercontent.com/a/ACg8ocJcMSBURZl6yIdO-Rei_Y8L_G2WYRvwin5dZgGrZhrWGQRsXA=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/110608735393451424308?hl=en","791","2025-04-30T16:47:33.596Z","Direct Detail URL: https://www.google.co.uk/maps/place/Putt+Putt+%26+Karaoke+Bar/@51.4382755,-0.1287154,436m/data=!3m1!1e3!4m8!3m7!1s0x4876053acf59d889:0xde2bcd3bc87f1ec8!8m2!3d51.4386367!4d-0.1261297!9m1!1b1!16s%2Fg%2F11r_vnthr4?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","5",,"103 Streatham Hill","false",,,"Putt Putt & Karaoke Bar","4.5",,"https://www.google.com/maps/search/?api=1&query=Putt%20Putt%20%26%20Karaoke%20Bar&query_place_id=ChIJidhZzzoFdkgRyB5_yDvNK94",
"103 Streatham Hill, London SW2 4UE, United Kingdom","Karaoke bar","Bar","Indoor golf course","Live music bar","Live music venue","Miniature golf course","Pool billard club","Pub","Sports bar","Karaoke bar","16009114957069098696","London","GB","0x4876053acf59d889:0xde2bcd3bc87f1ec8","https://lh3.googleusercontent.com/p/AF1QipNORy6DaOqwS4J69_TmNETDcffg1g8qM_tzOyLG=w408-h408-k-no","false","false","en","0","51.4386367","-0.1261297","Hatti Lyle",,,"false","ChIJidhZzzoFdkgRyB5_yDvNK94","SW2 4UE","£10–20","5 days ago","2025-04-24T19:46:21.249Z",,,,,,,"5",,"5","ChdDSUhNMG9nS0VJQ0FnTURvanNDd3JnRRAB",,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURvanNDd3JnRRAB!2m1!1s0x0:0xde2bcd3bc87f1ec8!3m1!1s2@1:CIHM0ogKEICAgMDojsCwrgE%7CCgsIjaqqwAYQoMyDdw%7C?hl=en","107264182991183901866","2","https://lh3.googleusercontent.com/a-/ALV-UjUOFcD2WbnYrt0RopyxIWEbPhXMq4NxdIhpsF26z7pYgp8AguzVxw=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/107264182991183901866?hl=en","791","2025-04-30T16:47:33.596Z","Direct Detail URL: https://www.google.co.uk/maps/place/Putt+Putt+%26+Karaoke+Bar/@51.4382755,-0.1287154,436m/data=!3m1!1e3!4m8!3m7!1s0x4876053acf59d889:0xde2bcd3bc87f1ec8!8m2!3d51.4386367!4d-0.1261297!9m1!1b1!16s%2Fg%2F11r_vnthr4?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","5",,"103 Streatham Hill","false",,,"Putt Putt & Karaoke Bar","4.5",,"https://www.google.com/maps/search/?api=1&query=Putt%20Putt%20%26%20Karaoke%20Bar&query_place_id=ChIJidhZzzoFdkgRyB5_yDvNK94",
"103 Streatham Hill, London SW2 4UE, United Kingdom","Karaoke bar","Bar","Indoor golf course","Live music bar","Live music venue","Miniature golf course","Pool billard club","Pub","Sports bar","Karaoke bar","16009114957069098696","London","GB","0x4876053acf59d889:0xde2bcd3bc87f1ec8","https://lh3.googleusercontent.com/p/AF1QipNORy6DaOqwS4J69_TmNETDcffg1g8qM_tzOyLG=w408-h408-k-no","false","true","en","0","51.4386367","-0.1261297","Rich “bikedoc” Cam",,,"false","ChIJidhZzzoFdkgRyB5_yDvNK94","SW2 4UE","£10–20","6 days ago","2025-04-24T04:28:25.282Z",,,,,,"£20–30","5","3","4","ChZDSUhNMG9nS0VJQ0FnTURvLXBpcFhBEAE",,,,,,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTURvLXBpcFhBEAE!2m1!1s0x0:0xde2bcd3bc87f1ec8!3m1!1s2@1:CIHM0ogKEICAgMDo-pipXA%7CCgwI6fumwAYQiPvGhgE%7C?hl=en","108707753324575444158","11","https://lh3.googleusercontent.com/a/ACg8ocLIW5YbCi6e4oWGkv8raQgGHGCRaUipYvI24slveaRgEF7Miw=s1920-c-rp-mo-ba2-br100","https://www.google.com/maps/contrib/108707753324575444158?hl=en","791","2025-04-30T16:47:33.596Z","Direct Detail URL: https://www.google.co.uk/maps/place/Putt+Putt+%26+Karaoke+Bar/@51.4382755,-0.1287154,436m/data=!3m1!1e3!4m8!3m7!1s0x4876053acf59d889:0xde2bcd3bc87f1ec8!8m2!3d51.4386367!4d-0.1261297!9m1!1b1!16s%2Fg%2F11r_vnthr4?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","5",,"103 Streatham Hill","false",,,"Putt Putt & Karaoke Bar","4.5",,"https://www.google.com/maps/search/?api=1&query=Putt%20Putt%20%26%20Karaoke%20Bar&query_place_id=ChIJidhZzzoFdkgRyB5_yDvNK94",
