"address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categoryName","cid","city","countryCode","fid","imageUrl","isAdvertisement","isLocalGuide","language","likesCount","location/lat","location/lng","name","neighborhood","originalLanguage","permanentlyClosed","placeId","postalCode","price","publishAt","publishedAtDate","rating","responseFromOwnerDate","responseFromOwnerText","reviewContext/Meal type","reviewContext/Parking space","reviewContext/Price per person","reviewContext/Recommendation for vegetarians","reviewContext/Service","reviewDetailedRating/Atmosphere","reviewDetailedRating/Food","reviewDetailedRating/Service","reviewId","reviewImageUrls/0","reviewImageUrls/1","reviewImageUrls/2","reviewImageUrls/3","reviewImageUrls/4","reviewOrigin","reviewUrl","reviewerId","reviewerNumberOfReviews","reviewerPhotoUrl","reviewerUrl","reviewsCount","scrapedAt","searchString","stars","state","street","temporarilyClosed","text","textTranslated","title","totalScore","translatedLanguage","url","visitedIn"
"Streatham Hill, London SW2 4RS, United Kingdom","Coffee shop","Cafe","Coffee stand","Coffee store","Takeout Restaurant","Sandwich shop","Tea house","Tea store","Coffee shop","4899386311654747897","London","GB","0x487605b7a6abbd85:0x43fe1de47397aef9","https://lh3.googleusercontent.com/p/AF1QipMo5NubtG9Yub3IUPUFu7c7xMvJNE4DbEaDYDL2=w408-h544-k-no","false","false","en","0","51.4389701","-0.126699","Alderley House",,"en","false","ChIJhb2rprcFdkgR-a6Xc-Qd_kM","SW2 4RS","£1–10","4 weeks ago","2025-03-31T12:56:31.279Z",,,,"Brunch",,"£1–10",,"Dine in","1","4","1","ChdDSUhNMG9nS0VJQ0FnTUNJd3BuZHhBRRAB",,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNJd3BuZHhBRRAB!2m1!1s0x0:0x43fe1de47397aef9!3m1!1s2@1:CIHM0ogKEICAgMCIwpndxAE%7CCgwI_6GqvwYQyIWIhQE%7C?hl=en","109526506949574499114","4","https://lh3.googleusercontent.com/a/ACg8ocIXJb71yirZPxQySZTztQMKgG_EN4pALb2G-8ehsEYoBp-0ag=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/109526506949574499114?hl=en","405","2025-04-30T16:52:10.743Z","Direct Detail URL: https://www.google.co.uk/maps/place/Starbucks+Coffee/@51.4382755,-0.1287154,436m/data=!3m2!1e3!5s0x487604250887606b:0x5cd90e6f850f8445!4m8!3m7!1s0x487605b7a6abbd85:0x43fe1de47397aef9!8m2!3d51.4389701!4d-0.126699!9m1!1b1!16s%2Fg%2F11g2xrgd7x?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","1",,"Streatham Hill","false","Rudest barista ever, pathetic lady. She is Eastern European, needed accessible key for the toilet. Her reponse. “If you are disable you should’ve your own key”

Idiotic behaviour, pathetic women and pathetic service",,"Starbucks Coffee","4",,"https://www.google.com/maps/search/?api=1&query=Starbucks%20Coffee&query_place_id=ChIJhb2rprcFdkgR-a6Xc-Qd_kM",
"Streatham Hill, London SW2 4RS, United Kingdom","Coffee shop","Cafe","Coffee stand","Coffee store","Takeout Restaurant","Sandwich shop","Tea house","Tea store","Coffee shop","4899386311654747897","London","GB","0x487605b7a6abbd85:0x43fe1de47397aef9","https://lh3.googleusercontent.com/p/AF1QipMo5NubtG9Yub3IUPUFu7c7xMvJNE4DbEaDYDL2=w408-h544-k-no","false","true","en","0","51.4389701","-0.126699","kerry C",,,"false","ChIJhb2rprcFdkgR-a6Xc-Qd_kM","SW2 4RS","£1–10","a month ago","2025-03-15T22:43:05.671Z",,,,,,,,,,,,"ChZDSUhNMG9nS0VJQ0FnTUN3b05QNUNBEAE",,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUN3b05QNUNBEAE!2m1!1s0x0:0x43fe1de47397aef9!3m1!1s2@1:CIHM0ogKEICAgMCwoNP5CA%7CCgwI-YTYvgYQ8MmfwAI%7C?hl=en","113189694512430206130","15","https://lh3.googleusercontent.com/a/ACg8ocI5ZmE1yovBpvXLjbax-wWTZ38nblRudmJeS6pMn_YMMF5fJw=s1920-c-rp-mo-ba2-br100","https://www.google.com/maps/contrib/113189694512430206130?hl=en","405","2025-04-30T16:52:10.743Z","Direct Detail URL: https://www.google.co.uk/maps/place/Starbucks+Coffee/@51.4382755,-0.1287154,436m/data=!3m2!1e3!5s0x487604250887606b:0x5cd90e6f850f8445!4m8!3m7!1s0x487605b7a6abbd85:0x43fe1de47397aef9!8m2!3d51.4389701!4d-0.126699!9m1!1b1!16s%2Fg%2F11g2xrgd7x?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","5",,"Streatham Hill","false",,,"Starbucks Coffee","4",,"https://www.google.com/maps/search/?api=1&query=Starbucks%20Coffee&query_place_id=ChIJhb2rprcFdkgR-a6Xc-Qd_kM",
"Streatham Hill, London SW2 4RS, United Kingdom","Coffee shop","Cafe","Coffee stand","Coffee store","Takeout Restaurant","Sandwich shop","Tea house","Tea store","Coffee shop","4899386311654747897","London","GB","0x487605b7a6abbd85:0x43fe1de47397aef9","https://lh3.googleusercontent.com/p/AF1QipMo5NubtG9Yub3IUPUFu7c7xMvJNE4DbEaDYDL2=w408-h544-k-no","false","false","en","0","51.4389701","-0.126699","Jessica Bonni",,"en","false","ChIJhb2rprcFdkgR-a6Xc-Qd_kM","SW2 4RS","£1–10","a month ago","2025-03-07T13:21:04.735Z",,,,"Lunch",,,,"Dine in","1","1","1","ChZDSUhNMG9nS0VJQ0FnTUNRaDlIZVhnEAE","https://lh3.googleusercontent.com/geougc-cs/AIHozJKRBBLS-w61VrVrHOlirVJCa6NC_C0ixpdzWjp8mC1WvO63R3WIUfpE_X-yodL9ZRo5csZkgsKGiwaVzEkqc1nHYFnsxuMj4UqoUVQdRJnztQLh3rZvLMerWBzNG2z7ZFOkVmB0",,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNRaDlIZVhnEAE!2m1!1s0x0:0x43fe1de47397aef9!3m1!1s2@1:CIHM0ogKEICAgMCQh9HeXg%7CCgwIwOWrvgYQsOb33gI%7C?hl=en","100304716841661072422","3","https://lh3.googleusercontent.com/a/ACg8ocLE78D-ULB-wG-K8g3rgf-tLcszdJ-BaW9GKlZJCwKW_K5jvw=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/100304716841661072422?hl=en","405","2025-04-30T16:52:10.743Z","Direct Detail URL: https://www.google.co.uk/maps/place/Starbucks+Coffee/@51.4382755,-0.1287154,436m/data=!3m2!1e3!5s0x487604250887606b:0x5cd90e6f850f8445!4m8!3m7!1s0x487605b7a6abbd85:0x43fe1de47397aef9!8m2!3d51.4389701!4d-0.126699!9m1!1b1!16s%2Fg%2F11g2xrgd7x?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","1",,"Streatham Hill","false","I’ve been a customer for years since they first opened. It used to be a great place to work and read—until today. I can’t explain why the drinks have become so terrible since the new staff and management took over. There’s a very rude guy named Angelo who clearly doesn’t know how to make drinks to Starbucks’ standard. Today was the third time I had to throw my drink away, and they’ll never get my money again.",,"Starbucks Coffee","4",,"https://www.google.com/maps/search/?api=1&query=Starbucks%20Coffee&query_place_id=ChIJhb2rprcFdkgR-a6Xc-Qd_kM",
"Streatham Hill, London SW2 4RS, United Kingdom","Coffee shop","Cafe","Coffee stand","Coffee store","Takeout Restaurant","Sandwich shop","Tea house","Tea store","Coffee shop","4899386311654747897","London","GB","0x487605b7a6abbd85:0x43fe1de47397aef9","https://lh3.googleusercontent.com/p/AF1QipMo5NubtG9Yub3IUPUFu7c7xMvJNE4DbEaDYDL2=w408-h544-k-no","false","true","en","0","51.4389701","-0.126699","Paul-antonio Donaldson",,,"false","ChIJhb2rprcFdkgR-a6Xc-Qd_kM","SW2 4RS","£1–10","a month ago","2025-03-03T06:38:30.235Z",,,,,,,,,"5","4","5","ChdDSUhNMG9nS0VJQ0FnTUNRZ3Y2eXlnRRAB",,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNRZ3Y2eXlnRRAB!2m1!1s0x0:0x43fe1de47397aef9!3m1!1s2@1:CIHM0ogKEICAgMCQgv6yygE%7CCgsI5pyVvgYQsOqocA%7C?hl=en","110285061563224510851","8","https://lh3.googleusercontent.com/a/ACg8ocKqFBnt8w6clP6QMP8x_KOYjwhfuzrnU3IJFyDs9qTQiLbh0g=s1920-c-rp-mo-ba2-br100","https://www.google.com/maps/contrib/110285061563224510851?hl=en","405","2025-04-30T16:52:10.743Z","Direct Detail URL: https://www.google.co.uk/maps/place/Starbucks+Coffee/@51.4382755,-0.1287154,436m/data=!3m2!1e3!5s0x487604250887606b:0x5cd90e6f850f8445!4m8!3m7!1s0x487605b7a6abbd85:0x43fe1de47397aef9!8m2!3d51.4389701!4d-0.126699!9m1!1b1!16s%2Fg%2F11g2xrgd7x?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","4",,"Streatham Hill","false",,,"Starbucks Coffee","4",,"https://www.google.com/maps/search/?api=1&query=Starbucks%20Coffee&query_place_id=ChIJhb2rprcFdkgR-a6Xc-Qd_kM",
"Streatham Hill, London SW2 4RS, United Kingdom","Coffee shop","Cafe","Coffee stand","Coffee store","Takeout Restaurant","Sandwich shop","Tea house","Tea store","Coffee shop","4899386311654747897","London","GB","0x487605b7a6abbd85:0x43fe1de47397aef9","https://lh3.googleusercontent.com/p/AF1QipMo5NubtG9Yub3IUPUFu7c7xMvJNE4DbEaDYDL2=w408-h544-k-no","false","false","en","0","51.4389701","-0.126699","m t",,"en","false","ChIJhb2rprcFdkgR-a6Xc-Qd_kM","SW2 4RS","£1–10","2 months ago","2025-02-11T17:45:03.811Z",,,,,,"£10–20",,"Dine in","4","4","5","ChdDSUhNMG9nS0VJQ0FnTURBd2JPb2l3RRAB",,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURBd2JPb2l3RRAB!2m1!1s0x0:0x43fe1de47397aef9!3m1!1s2@1:CIHM0ogKEICAgMDAwbOoiwE%7CCgwIn5muvQYQgOSOgwM%7C?hl=en","116768089028848991645","3","https://lh3.googleusercontent.com/a-/ALV-UjWR72MK8x1OqnjQRFCAjk4YlTDd74J3QHokLEXA8cExhbCFcx7j=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/116768089028848991645?hl=en","405","2025-04-30T16:52:10.743Z","Direct Detail URL: https://www.google.co.uk/maps/place/Starbucks+Coffee/@51.4382755,-0.1287154,436m/data=!3m2!1e3!5s0x487604250887606b:0x5cd90e6f850f8445!4m8!3m7!1s0x487605b7a6abbd85:0x43fe1de47397aef9!8m2!3d51.4389701!4d-0.126699!9m1!1b1!16s%2Fg%2F11g2xrgd7x?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","5",,"Streatham Hill","false","Thank you to  Aitor and Raman very nice staff don't trusting bad reviews .",,"Starbucks Coffee","4",,"https://www.google.com/maps/search/?api=1&query=Starbucks%20Coffee&query_place_id=ChIJhb2rprcFdkgR-a6Xc-Qd_kM",
"Streatham Hill, London SW2 4RS, United Kingdom","Coffee shop","Cafe","Coffee stand","Coffee store","Takeout Restaurant","Sandwich shop","Tea house","Tea store","Coffee shop","4899386311654747897","London","GB","0x487605b7a6abbd85:0x43fe1de47397aef9","https://lh3.googleusercontent.com/p/AF1QipMo5NubtG9Yub3IUPUFu7c7xMvJNE4DbEaDYDL2=w408-h544-k-no","false","true","en","0","51.4389701","-0.126699","Nida Faruqui",,"en","false","ChIJhb2rprcFdkgR-a6Xc-Qd_kM","SW2 4RS","£1–10","2 months ago","2025-02-09T17:28:10.994Z",,,,,,,,,"1","3","4","ChdDSUhNMG9nS0VJQ0FnTURBNGZtSHl3RRAB",,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURBNGZtSHl3RRAB!2m1!1s0x0:0x43fe1de47397aef9!3m1!1s2@1:CIHM0ogKEICAgMDA4fmHywE%7CCgwIqsujvQYQ6OWF2gM%7C?hl=en","115931795880455797657","29","https://lh3.googleusercontent.com/a-/ALV-UjXOdfea_UdRkAVlcogHwst_ReLLoUSQ7qqmNQ-W0AnpzuhKadI_yQ=s1920-c-rp-mo-ba3-br100","https://www.google.com/maps/contrib/115931795880455797657?hl=en","405","2025-04-30T16:52:10.743Z","Direct Detail URL: https://www.google.co.uk/maps/place/Starbucks+Coffee/@51.4382755,-0.1287154,436m/data=!3m2!1e3!5s0x487604250887606b:0x5cd90e6f850f8445!4m8!3m7!1s0x487605b7a6abbd85:0x43fe1de47397aef9!8m2!3d51.4389701!4d-0.126699!9m1!1b1!16s%2Fg%2F11g2xrgd7x?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","1",,"Streatham Hill","false","Wow couldn't believe this is a Starbucks location. I don't understand why babies and small children are allowed in cafes where people usually come to work/read. There were these two ladies singing to their babies right behind me which was so irritating. Really made it impossible to sit get any work done.",,"Starbucks Coffee","4",,"https://www.google.com/maps/search/?api=1&query=Starbucks%20Coffee&query_place_id=ChIJhb2rprcFdkgR-a6Xc-Qd_kM",
"Streatham Hill, London SW2 4RS, United Kingdom","Coffee shop","Cafe","Coffee stand","Coffee store","Takeout Restaurant","Sandwich shop","Tea house","Tea store","Coffee shop","4899386311654747897","London","GB","0x487605b7a6abbd85:0x43fe1de47397aef9","https://lh3.googleusercontent.com/p/AF1QipMo5NubtG9Yub3IUPUFu7c7xMvJNE4DbEaDYDL2=w408-h544-k-no","false","false","en","0","51.4389701","-0.126699","Lade Aminu",,"en","false","ChIJhb2rprcFdkgR-a6Xc-Qd_kM","SW2 4RS","£1–10","2 months ago","2025-02-04T09:53:49.811Z",,,,"Other",,"£1–10",,"Take out",,,"1","ChZDSUhNMG9nS0VJQ0FnTUNBeTZQMkZREAE",,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNBeTZQMkZREAE!2m1!1s0x0:0x43fe1de47397aef9!3m1!1s2@1:CIHM0ogKEICAgMCAy6P2FQ%7CCgwIrceHvQYQoICQgwM%7C?hl=en","106524958325830980167","7","https://lh3.googleusercontent.com/a-/ALV-UjUEOz3hAtZIorreN9qTGWORitXhngXGT6qXRp0_Uutus7poCD87=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/106524958325830980167?hl=en","405","2025-04-30T16:52:10.743Z","Direct Detail URL: https://www.google.co.uk/maps/place/Starbucks+Coffee/@51.4382755,-0.1287154,436m/data=!3m2!1e3!5s0x487604250887606b:0x5cd90e6f850f8445!4m8!3m7!1s0x487605b7a6abbd85:0x43fe1de47397aef9!8m2!3d51.4389701!4d-0.126699!9m1!1b1!16s%2Fg%2F11g2xrgd7x?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","1",,"Streatham Hill","false","Poor service from Aitor & Yaran who are rude, unprofessional and clearly unhappy with their roles as waitress staff in Starbucks Streatham.

I have been coming here for months, and sadly on several different occasions both of them continue to be vile and unable to deliver a high level of customer service. I will not be returning!",,"Starbucks Coffee","4",,"https://www.google.com/maps/search/?api=1&query=Starbucks%20Coffee&query_place_id=ChIJhb2rprcFdkgR-a6Xc-Qd_kM",
"Streatham Hill, London SW2 4RS, United Kingdom","Coffee shop","Cafe","Coffee stand","Coffee store","Takeout Restaurant","Sandwich shop","Tea house","Tea store","Coffee shop","4899386311654747897","London","GB","0x487605b7a6abbd85:0x43fe1de47397aef9","https://lh3.googleusercontent.com/p/AF1QipMo5NubtG9Yub3IUPUFu7c7xMvJNE4DbEaDYDL2=w408-h544-k-no","false","true","en","0","51.4389701","-0.126699","Charys",,"en","false","ChIJhb2rprcFdkgR-a6Xc-Qd_kM","SW2 4RS","£1–10","3 months ago","2025-01-25T10:47:54.996Z",,,,"Breakfast",,"£1–10",,"Dine in","3","4","5","ChZDSUhNMG9nS0VJQ0FnSURfMlpEeUt3EAE",,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURfMlpEeUt3EAE!2m1!1s0x0:0x43fe1de47397aef9!3m1!1s2@1:CIHM0ogKEICAgID_2ZDyKw%7CCgwI2oLTvAYQuLmW2wM%7C?hl=en","106759596665884756095","53","https://lh3.googleusercontent.com/a-/ALV-UjVlrV4TMouXQKtDJJMiYljJev2riafhS3UPGnoVvA9nD3eZzos=s1920-c-rp-mo-ba4-br100","https://www.google.com/maps/contrib/106759596665884756095?hl=en","405","2025-04-30T16:52:10.743Z","Direct Detail URL: https://www.google.co.uk/maps/place/Starbucks+Coffee/@51.4382755,-0.1287154,436m/data=!3m2!1e3!5s0x487604250887606b:0x5cd90e6f850f8445!4m8!3m7!1s0x487605b7a6abbd85:0x43fe1de47397aef9!8m2!3d51.4389701!4d-0.126699!9m1!1b1!16s%2Fg%2F11g2xrgd7x?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","4",,"Streatham Hill","false","Clean cafe, friendly staff. Good WiFi and comfortable for remote working. Filthy toilets.",,"Starbucks Coffee","4",,"https://www.google.com/maps/search/?api=1&query=Starbucks%20Coffee&query_place_id=ChIJhb2rprcFdkgR-a6Xc-Qd_kM",
"Streatham Hill, London SW2 4RS, United Kingdom","Coffee shop","Cafe","Coffee stand","Coffee store","Takeout Restaurant","Sandwich shop","Tea house","Tea store","Coffee shop","4899386311654747897","London","GB","0x487605b7a6abbd85:0x43fe1de47397aef9","https://lh3.googleusercontent.com/p/AF1QipMo5NubtG9Yub3IUPUFu7c7xMvJNE4DbEaDYDL2=w408-h544-k-no","false","false","en","0","51.4389701","-0.126699","Lorenzo Beninato",,,"false","ChIJhb2rprcFdkgR-a6Xc-Qd_kM","SW2 4RS","£1–10","3 months ago","2025-01-21T21:01:43.721Z",,,,,,,,,"4","4","4","ChZDSUhNMG9nS0VJQ0FnSURfbE1DamR3EAE",,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURfbE1DamR3EAE!2m1!1s0x0:0x43fe1de47397aef9!3m1!1s2@1:CIHM0ogKEICAgID_lMCjdw%7CCgwIt5bAvAYQ8OP41wI%7C?hl=en","109320763702000928438","0","https://lh3.googleusercontent.com/a/ACg8ocKGm55fDC_ajZ2jejC0UP2KrSNhNAaA8v7Q2zbtP5huma3o9Q=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/109320763702000928438?hl=en","405","2025-04-30T16:52:10.743Z","Direct Detail URL: https://www.google.co.uk/maps/place/Starbucks+Coffee/@51.4382755,-0.1287154,436m/data=!3m2!1e3!5s0x487604250887606b:0x5cd90e6f850f8445!4m8!3m7!1s0x487605b7a6abbd85:0x43fe1de47397aef9!8m2!3d51.4389701!4d-0.126699!9m1!1b1!16s%2Fg%2F11g2xrgd7x?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","4",,"Streatham Hill","false",,,"Starbucks Coffee","4",,"https://www.google.com/maps/search/?api=1&query=Starbucks%20Coffee&query_place_id=ChIJhb2rprcFdkgR-a6Xc-Qd_kM",
"Streatham Hill, London SW2 4RS, United Kingdom","Coffee shop","Cafe","Coffee stand","Coffee store","Takeout Restaurant","Sandwich shop","Tea house","Tea store","Coffee shop","4899386311654747897","London","GB","0x487605b7a6abbd85:0x43fe1de47397aef9","https://lh3.googleusercontent.com/p/AF1QipMo5NubtG9Yub3IUPUFu7c7xMvJNE4DbEaDYDL2=w408-h544-k-no","false","false","en","0","51.4389701","-0.126699","Dan Tstsu",,"en","false","ChIJhb2rprcFdkgR-a6Xc-Qd_kM","SW2 4RS","£1–10","3 months ago","2025-01-21T00:56:31.354Z",,,,,,,,,"1","2","1","ChdDSUhNMG9nS0VJQ0FnSUNia29TOWh3RRAB",,,,,,"Google","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNia29TOWh3RRAB!2m1!1s0x0:0x43fe1de47397aef9!3m1!1s2@1:CIHM0ogKEICAgICbkoS9hwE%7CCgwIv-G7vAYQ6OOEqQE%7C?hl=en","109817013251402323673","2","https://lh3.googleusercontent.com/a/ACg8ocJxDvGc5iqsfnELwPfI6TolELjOnzV3a-Y9flmzKRSybZfg8w=s1920-c-rp-mo-br100","https://www.google.com/maps/contrib/109817013251402323673?hl=en","405","2025-04-30T16:52:10.743Z","Direct Detail URL: https://www.google.co.uk/maps/place/Starbucks+Coffee/@51.4382755,-0.1287154,436m/data=!3m2!1e3!5s0x487604250887606b:0x5cd90e6f850f8445!4m8!3m7!1s0x487605b7a6abbd85:0x43fe1de47397aef9!8m2!3d51.4389701!4d-0.126699!9m1!1b1!16s%2Fg%2F11g2xrgd7x?entry=ttu&g_ep=EgoyMDI1MDQyNy4xIKXMDSoASAFQAw%3D%3D","1",,"Streatham Hill","false","Starbucks coffee with the side of dish RUDE staff.",,"Starbucks Coffee","4",,"https://www.google.com/maps/search/?api=1&query=Starbucks%20Coffee&query_place_id=ChIJhb2rprcFdkgR-a6Xc-Qd_kM",
